Species,Species.n,Year,Rec,SSB,TSB,SOP,mean.F,EatenBiomass
Plaice,25,2006,1084050,161235,276975,119681,0.544216,0
Plaice,25,2007,978718,160118,293466,89307.2,0.410607,0
Plaice,25,2008,1036950,205947,350402,92180.8,0.304614,0
Plaice,25,2009,845729,267561,443245,100099,0.227659,0
Plaice,25,2010,838522,346007,531383,106556,0.201584,0
Plaice,25,2011,NA,430452,NA,NA,NA,NA
Sole,26,1963,538212,72263,74181.9,26383.2,0.44725,0
Sole,26,1964,118282,50123.6,76989.4,11730.5,0.260726,0
Sole,26,1965,40780,43306.9,113787,17768.3,0.282056,0
Sole,26,1966,64060.4,93277.5,109470,33704,0.254643,0
Sole,26,1967,84806.4,97725.6,105686,32703.7,0.344765,0
Sole,26,1968,55327.6,82464.3,94217.1,33125.1,0.368722,0
Sole,26,1969,124022,68480.1,81330.6,26955.5,0.459781,0
Sole,26,1970,39959.7,56486,69051.6,19484.9,0.388514,0
Sole,26,1971,79633.6,50251.2,67096.2,23312.8,0.474246,0
Sole,26,1972,118814,51055,59657.6,21259,0.394429,0
Sole,26,1973,103954,42336.4,57583.1,18849.1,0.487872,0
Sole,26,1974,48496.5,40206.6,59467.8,18218.7,0.491004,0
Sole,26,1975,110411,41617.6,56450.5,20523.5,0.475972,0
Sole,26,1976,135880,41869.7,52964.8,16810.9,0.433852,0
Sole,26,1977,50833.5,34249.7,54016.8,17414,0.389062,0
Sole,26,1978,14885.1,38697.2,57488.3,20365.1,0.492057,0
Sole,26,1979,148884,45023.4,51856.8,22320,0.475378,0
Sole,26,1980,160249,35745.7,44620.5,15405.6,0.482787,0
Sole,26,1981,146257,24773.3,50335.4,14948.7,0.478827,0
Sole,26,1982,151069,33817.2,60083.3,20911.4,0.541109,0
Sole,26,1983,78931.3,41888.6,66697.5,24775.7,0.507842,0
Sole,26,1984,95971.6,45324.1,67281.8,26718.4,0.577458,0
Sole,26,1985,147642,42501.1,56576.8,24477.5,0.55086,0
Sole,26,1986,72313.6,36846.1,55432.7,18266.5,0.620083,0
Sole,26,1987,522169,30435.2,51665.3,17449.3,0.498086,0
Sole,26,1988,117401,37366.1,70914.9,21610.3,0.501077,0
Sole,26,1989,227110,33786.3,102291,22142.5,0.418916,0
Sole,26,1990,81664.9,93315.6,118264,35378.2,0.427264,0
Sole,26,1991,393794,80477.7,111728,34081.1,0.475166,0
Sole,26,1992,74219.8,80302.9,108873,29644.6,0.471046,0
Sole,26,1993,53454,55072.3,106054,31852.3,0.518567,0
Sole,26,1994,94384.8,75241.1,86726.9,33302.2,0.542772,0
Sole,26,1995,61079.9,58426.5,69356.8,29964.8,0.50377,0
Sole,26,1996,254515,39095,53373.4,22884.5,0.713214,0
Sole,26,1997,118296,28176.3,47641.5,14810.1,0.600621,0
Sole,26,1998,78155.4,21679.3,57974.5,21017.5,0.635316,0
Sole,26,1999,109753,40470.3,58442,23670.5,0.58062,0
Sole,26,2000,58847.1,37828.1,52465.7,22518.2,0.665415,0
Sole,26,2001,183442,28357.9,44381.9,20455.4,0.573373,0
Sole,26,2002,80153,29105.8,44921.6,16943.8,0.520949,0
Sole,26,2003,48664.5,24802.1,50718.9,17797.3,0.499689,0
Sole,26,2004,52759,37929.6,49902.6,18678.6,0.471633,0
Sole,26,2005,260059,33509.1,41882.4,16523.4,0.522619,0
Sole,26,2006,75027.6,26698.3,45424.5,11182.8,0.400212,0
Sole,26,2007,100403,20981.3,55886.5,14676.3,0.374154,0
Sole,26,2008,123260,49318.1,63134.2,13506.1,0.286427,0
Sole,26,2009,191712,48557.2,66518,13608.8,0.288834,0
Sole,26,2010,101905,51469.2,75440,12537.4,0.245127,0
Sole,26,2011,NA,57441.2,NA,NA,NA,NA
