Species.n Year  Rec SSB TSB SOP SOP.hat mean.F Eaten
24 2001  1.83675e+008 196218 276362 165543 203960 0.939594 465570
24 2002  1.46149e+008 150002 246573 144905 153883 0.654617 461398
24 2003  1.3478e+008 148285 231156 173605 182410 1.00739 400457
24 2004  3.02719e+008 117016 188866 130600 160254 0.951322 546655
24 2005  1.34525e+008 217035 396312 206953 96546.9 0.289648 697113
24 2006  1.55728e+008 242329 319931 113979 152111 0.722744 496786
24 2007  1.69314e+008 149437 235642 78256.2 91035.9 0.372244 490498
24 2008  3.422e+008 168379 256008 59369.5 102733 0.465018 700461
24 2009  1.64895e+008 270828 470804 131953 57809.5 0.127097 835438
24 2010  1.71858e+008 321302 414873 139788 164028 0.541238 632525
24 2011  NA 186303 NA NA NA NA NA 
25 1963  2.70937e+006 373043 553117 148131 150787 0.406578 0
25 1964  800951 345136 595221 147321 150080 0.412272 0
25 1965  682917 323652 604322 139851 146605 0.377171 0
25 1966  472588 375149 689145 166579 166089 0.397251 0
25 1967  444129 400664 618292 163303 157651 0.3768 0
25 1968  677379 374214 529633 139495 132601 0.328329 0
25 1969  654084 341482 478424 142892 138247 0.353022 0
25 1970  442718 336070 466549 159955 144069 0.43384 0
25 1971  402426 321229 458347 136885 143076 0.40882 0
25 1972  1.5022e+006 319255 445196 142461 147481 0.428542 0
25 1973  1.16012e+006 272034 430818 143806 149218 0.458645 0
25 1974  791708 258018 449415 157651 161562 0.487004 0
25 1975  626707 288797 512913 195228 191834 0.555504 0
25 1976  892627 267676 447561 167116 162531 0.446502 0
25 1977  757610 277494 450312 176599 160090 0.487934 0
25 1978  775738 265224 426069 159746 148747 0.446109 0
25 1979  1.01246e+006 266031 427667 213553 198676 0.657367 0
25 1980  940526 234897 391041 171269 158855 0.521122 0
25 1981  1.91237e+006 225507 393631 172556 167525 0.530683 0
25 1982  1.30002e+006 230078 457817 204279 192231 0.589444 0
25 1983  1.25106e+006 232315 479187 218637 207882 0.576373 0
25 1984  1.63469e+006 248070 513757 226598 215596 0.585982 0
25 1985  3.93981e+006 248403 515197 220907 207083 0.533541 0
25 1986  1.81203e+006 284607 686636 296604 268718 0.648287 0
25 1987  1.82325e+006 315587 754776 342523 289500 0.64105 0
25 1988  1.31351e+006 327017 760009 311600 289542 0.678874 0
25 1989  1.18823e+006 308729 641766 277429 261861 0.636734 0
25 1990  1.1163e+006 296525 575916 228468 206395 0.554407 0
25 1991  987568 281137 525390 229451 229147 0.683021 0
25 1992  587625 248552 455847 183297 206257 0.732256 0
25 1993  554516 211182 370176 152223 178687 0.710695 0
25 1994  973640 179574 296457 134479 154528 0.736767 0
25 1995  893104 153619 268469 120307 123736 0.655214 0
25 1996  3.156e+006 144127 279988 133645 132048 0.758726 0
25 1997  1.16464e+006 134450 386596 180251 148886 0.840145 0
25 1998  946259 194650 464545 175160 181898 0.813636 0
25 1999  1.13585e+006 205690 456158 151646 183902 0.80803 0
25 2000  686696 153192 311722 125515 138195 0.620463 0
25 2001  1.97462e+006 180056 320911 182320 169435 0.855649 0
25 2002  508927 150835 322105 124633 144921 0.817313 0
25 2003  1.11473e+006 175658 312234 144178 157462 0.811117 0
25 2004  709021 143210 285344 115796 110314 0.593509 0
25 2005  737250 159953 282656 109766 122140 0.634388 0
25 2006  1.08405e+006 161235 276975 119681 108585 0.544216 0
25 2007  978718 160118 293466 89307.2 86118.2 0.410607 0
25 2008  1.03695e+006 205947 350402 92180.8 82020.2 0.304614 0
25 2009  845729 267561 443245 100099 84319.8 0.227659 0
25 2010  838522 346007 531383 106556 90168.8 0.201584 0
25 2011  NA 430452 NA NA NA NA NA 
26 1963  538212 72263 74181.9 26383.2 27548.7 0.44725 0
26 1964  118282 50123.6 76989.4 11730.5 11431.3 0.260726 0
26 1965  40780 43306.9 113787 17768.3 17286.5 0.282056 0
26 1966  64060.4 93277.5 109470 33704 26295.9 0.254643 0
26 1967  84806.4 97725.6 105686 32703.7 33605.5 0.344765 0
26 1968  55327.6 82464.3 94217.1 33125.1 28493.5 0.368722 0
26 1969  124022 68480.1 81330.6 26955.5 26405.6 0.459781 0
26 1970  39959.7 56486 69051.6 19484.9 18752 0.388514 0
26 1971  79633.6 50251.2 67096.2 23312.8 21938.1 0.474246 0
26 1972  118814 51055 59657.6 21259 19084.9 0.394429 0
26 1973  103954 42336.4 57583.1 18849.1 20088.5 0.487872 0
26 1974  48496.5 40206.6 59467.8 18218.7 19444.1 0.491004 0
26 1975  110411 41617.6 56450.5 20523.5 19578.5 0.475972 0
26 1976  135880 41869.7 52964.8 16810.9 16863 0.433852 0
26 1977  50833.5 34249.7 54016.8 17414 14486 0.389062 0
26 1978  14885.1 38697.2 57488.3 20365.1 20856.2 0.492057 0
26 1979  148884 45023.4 51856.8 22320 21138.8 0.475378 0
26 1980  160249 35745.7 44620.5 15405.6 15938.2 0.482787 0
26 1981  146257 24773.3 50335.4 14948.7 13925.9 0.478827 0
26 1982  151069 33817.2 60083.3 20911.4 20641.4 0.541109 0
26 1983  78931.3 41888.6 66697.5 24775.7 23004.1 0.507842 0
26 1984  95971.6 45324.1 67281.8 26718.4 27010.7 0.577458 0
26 1985  147642 42501.1 56576.8 24477.5 23877.3 0.55086 0
26 1986  72313.6 36846.1 55432.7 18266.5 21907.4 0.620083 0
26 1987  522169 30435.2 51665.3 17449.3 17234.6 0.498086 0
26 1988  117401 37366.1 70914.9 21610.3 18972.3 0.501077 0
26 1989  227110 33786.3 102291 22142.5 24872 0.418916 0
26 1990  81664.9 93315.6 118264 35378.2 36837.7 0.427264 0
26 1991  393794 80477.7 111728 34081.1 40112.6 0.475166 0
26 1992  74219.8 80302.9 108873 29644.6 34101.7 0.471046 0
26 1993  53454 55072.3 106054 31852.3 34102.9 0.518567 0
26 1994  94384.8 75241.1 86726.9 33302.2 35641.1 0.542772 0
26 1995  61079.9 58426.5 69356.8 29964.8 26859.8 0.50377 0
26 1996  254515 39095 53373.4 22884.5 25250.6 0.713214 0
26 1997  118296 28176.3 47641.5 14810.1 15255.9 0.600621 0
26 1998  78155.4 21679.3 57974.5 21017.5 19291.1 0.635316 0
26 1999  109753 40470.3 58442 23670.5 22716.9 0.58062 0
26 2000  58847.1 37828.1 52465.7 22518.2 23068.4 0.665415 0
26 2001  183442 28357.9 44381.9 20455.4 17595.5 0.573373 0
26 2002  80153 29105.8 44921.6 16943.8 14430.6 0.520949 0
26 2003  48664.5 24802.1 50718.9 17797.3 15613.6 0.499689 0
26 2004  52759 37929.6 49902.6 18678.6 16708.7 0.471633 0
26 2005  260059 33509.1 41882.4 16523.4 16237.7 0.522619 0
26 2006  75027.6 26698.3 45424.5 11182.8 11164.1 0.400212 0
26 2007  100403 20981.3 55886.5 14676.3 12605.9 0.374154 0
26 2008  123260 49318.1 63134.2 13506.1 14458.9 0.286427 0
26 2009  191712 48557.2 66518 13608.8 15830.9 0.288834 0
26 2010  101905 51469.2 75440 12537.4 13884.9 0.245127 0
26 2011  NA 57441.2 NA NA NA NA NA 
