year,quarter,pred_name,stratum_area,size,area_size_fac
1981,1,POK,6,1000,0
1981,1,POK,7,350,0
1981,1,POK,7,400,0
1981,1,POK,7,500,0
1981,1,POK,7,600,0
1981,1,POK,7,700,0
1981,1,POK,7,800,0
1981,1,POK,7,1000,0
1981,1,POK,8,350,0
1981,1,POK,8,400,0
1981,1,POK,8,500,0
1981,1,POK,8,600,0
1981,1,POK,8,700,0
1981,1,POK,8,800,0
1981,1,POK,8,1000,0
1981,1,POK,9,350,0
1981,1,POK,9,400,0
1981,1,POK,9,500,0
1981,1,POK,9,600,0
1981,1,POK,9,700,0
1981,1,POK,9,800,0
1981,1,POK,9,1000,0
1981,1,WHG,1,50,0
1981,1,WHG,1,60,0
1981,1,WHG,1,70,0
1981,1,WHG,1,80,0
1981,1,WHG,1,100,8.2
1981,1,WHG,1,120,101.2
1981,1,WHG,1,150,91.2
1981,1,WHG,1,200,104.4
1981,1,WHG,1,250,340.2
1981,1,WHG,1,300,146.4
1981,1,WHG,1,350,45.8
1981,1,WHG,1,400,8.8
1981,1,WHG,1,500,0.4
1981,1,WHG,2,50,0
1981,1,WHG,2,60,0
1981,1,WHG,2,70,0.941176471
1981,1,WHG,2,80,11.05882353
1981,1,WHG,2,100,20.82352941
1981,1,WHG,2,120,98.91176471
1981,1,WHG,2,150,343.2941177
1981,1,WHG,2,200,1569.823529
1981,1,WHG,2,250,690.5294118
1981,1,WHG,2,300,14.76470588
1981,1,WHG,2,350,1.529411765
1981,1,WHG,2,400,0
1981,1,WHG,2,500,0
1981,1,WHG,3,50,0
1981,1,WHG,3,60,0
1981,1,WHG,3,70,0.125
1981,1,WHG,3,80,3.5
1981,1,WHG,3,100,18.3125
1981,1,WHG,3,120,145.5625
1981,1,WHG,3,150,225.6875
1981,1,WHG,3,200,1182.25
1981,1,WHG,3,250,544.5
1981,1,WHG,3,300,114.125
1981,1,WHG,3,350,11.625
1981,1,WHG,3,400,1.125
1981,1,WHG,3,500,0
1981,1,WHG,4,50,0
1981,1,WHG,4,60,0.090909091
1981,1,WHG,4,70,0.909090909
1981,1,WHG,4,80,2.590909091
1981,1,WHG,4,100,7.363636364
1981,1,WHG,4,120,60.36363636
1981,1,WHG,4,150,121.6818182
1981,1,WHG,4,200,220.8181818
1981,1,WHG,4,250,116.4090909
1981,1,WHG,4,300,20.59090909
1981,1,WHG,4,350,2
1981,1,WHG,4,400,0.318181818
1981,1,WHG,4,500,0
1981,1,WHG,5,50,0
1981,1,WHG,5,60,0.4
1981,1,WHG,5,70,1.2
1981,1,WHG,5,80,2.8
1981,1,WHG,5,100,3.2
1981,1,WHG,5,120,16.2
1981,1,WHG,5,150,33.6
1981,1,WHG,5,200,465.8
1981,1,WHG,5,250,233.2
1981,1,WHG,5,300,51.8
1981,1,WHG,5,350,6
1981,1,WHG,5,400,0
1981,1,WHG,5,500,0
1981,1,WHG,6,50,0
1981,1,WHG,6,60,0.333333333
1981,1,WHG,6,70,1.833333333
1981,1,WHG,6,80,19.84
1981,1,WHG,6,100,21.70555556
1981,1,WHG,6,120,51.78
1981,1,WHG,6,150,112.9566667
1981,1,WHG,6,200,213.2455556
1981,1,WHG,6,250,347.4088889
1981,1,WHG,6,300,110.3066667
1981,1,WHG,6,350,16.64666667
1981,1,WHG,6,400,3.924444444
1981,1,WHG,6,500,0
1981,1,WHG,7,50,0.222222222
1981,1,WHG,7,60,0.333333333
1981,1,WHG,7,70,0.296296296
1981,1,WHG,7,80,4.296296296
1981,1,WHG,7,100,7.814814815
1981,1,WHG,7,120,45.53703704
1981,1,WHG,7,150,108.8518519
1981,1,WHG,7,200,34.96296296
1981,1,WHG,7,250,26.48148148
1981,1,WHG,7,300,11.16666667
1981,1,WHG,7,350,3.555555556
1981,1,WHG,7,400,0.222222222
1981,1,WHG,7,500,0
1981,1,WHG,8,50,0
1981,1,WHG,8,60,0
1981,1,WHG,8,70,0
1981,1,WHG,8,80,0
1981,1,WHG,8,100,0
1981,1,WHG,8,120,0
1981,1,WHG,8,150,0
1981,1,WHG,8,200,0
1981,1,WHG,8,250,0
1981,1,WHG,8,300,0
1981,1,WHG,8,350,0
1981,1,WHG,8,400,0
1981,1,WHG,8,500,0
1981,1,WHG,9,50,0
1981,1,WHG,9,60,0
1981,1,WHG,9,70,0
1981,1,WHG,9,80,0
1981,1,WHG,9,100,0
1981,1,WHG,9,120,0
1981,1,WHG,9,150,0
1981,1,WHG,9,200,0
1981,1,WHG,9,250,0
1981,1,WHG,9,300,0
1981,1,WHG,9,350,0
1981,1,WHG,9,400,0
1981,1,WHG,9,500,0
1981,2,COD,1,30,0
1981,2,COD,1,40,0
1981,2,COD,1,50,0
1981,2,COD,1,60,0
1981,2,COD,1,70,0
1981,2,COD,1,80,0
1981,2,COD,1,100,0
1981,2,COD,1,120,0.065656566
1981,2,COD,1,150,0.345959596
1981,2,COD,1,200,0.876262626
1981,2,COD,1,250,0.565656566
1981,2,COD,1,300,1.618686869
1981,2,COD,1,350,2.992424242
1981,2,COD,1,400,4.441919192
1981,2,COD,1,500,3.29040404
1981,2,COD,1,600,2.027777778
1981,2,COD,1,700,0.98989899
1981,2,COD,1,800,0.696969697
1981,2,COD,1,1000,0.186868687
1981,2,COD,1,1200,0
1981,2,COD,2,30,0
1981,2,COD,2,40,0.026666667
1981,2,COD,2,50,0.146666667
1981,2,COD,2,60,0.04
1981,2,COD,2,70,0.026666667
1981,2,COD,2,80,0
1981,2,COD,2,100,0
1981,2,COD,2,120,0.013333333
1981,2,COD,2,150,1.38
1981,2,COD,2,200,4.36
1981,2,COD,2,250,1.633333333
1981,2,COD,2,300,1.212
1981,2,COD,2,350,2.648
1981,2,COD,2,400,4.228
1981,2,COD,2,500,3.224
1981,2,COD,2,600,1.618
1981,2,COD,2,700,0.36
1981,2,COD,2,800,0.312
1981,2,COD,2,1000,0.153333333
1981,2,COD,2,1200,0
1981,2,COD,3,30,0
1981,2,COD,3,40,0
1981,2,COD,3,50,0.066666667
1981,2,COD,3,60,0.066666667
1981,2,COD,3,70,0
1981,2,COD,3,80,0
1981,2,COD,3,100,0.066666667
1981,2,COD,3,120,0.033333333
1981,2,COD,3,150,1.477777778
1981,2,COD,3,200,2.888888889
1981,2,COD,3,250,2.011111111
1981,2,COD,3,300,0.6
1981,2,COD,3,350,0.8
1981,2,COD,3,400,2.533333333
1981,2,COD,3,500,1
1981,2,COD,3,600,0.6
1981,2,COD,3,700,0.133333333
1981,2,COD,3,800,0.388888889
1981,2,COD,3,1000,0.266666667
1981,2,COD,3,1200,0
1981,2,COD,4,30,0
1981,2,COD,4,40,0
1981,2,COD,4,50,0
1981,2,COD,4,60,0
1981,2,COD,4,70,0
1981,2,COD,4,80,0
