"Species","year","quarter","l1","l2","no","group"
"ALL",1991,4,400,500,8,"0400-0500"
"ALL",1991,4,500,700,9,"0500-0700"
"ALL",1991,4,700,1000,10,"0700-1000"
"ALL",1991,4,1000,1500,11,"1000-1500"
"ALL",1991,4,1500,9999,12,"1500-9999"
"ALL",1992,1,50,70,1,"0050-0070"
"ALL",1992,1,70,100,2,"0070-0100"
"ALL",1992,1,100,150,3,"0100-0150"
"ALL",1992,1,150,200,4,"0150-0200"
"ALL",1992,1,200,250,5,"0200-0250"
"ALL",1992,1,250,300,6,"0250-0300"
"ALL",1992,1,300,400,7,"0300-0400"
"ALL",1992,1,400,500,8,"0400-0500"
"ALL",1992,1,500,700,9,"0500-0700"
"ALL",1992,1,700,1000,10,"0700-1000"
"ALL",1992,1,1000,1500,11,"1000-1500"
"ALL",1992,1,1500,9999,12,"1500-9999"
"ALL",1992,2,50,70,1,"0050-0070"
"ALL",1992,2,70,100,2,"0070-0100"
"ALL",1992,2,100,150,3,"0100-0150"
"ALL",1992,2,150,200,4,"0150-0200"
"ALL",1992,2,200,250,5,"0200-0250"
"ALL",1992,2,250,300,6,"0250-0300"
"ALL",1992,2,300,400,7,"0300-0400"
"ALL",1992,2,400,500,8,"0400-0500"
"ALL",1992,2,500,700,9,"0500-0700"
"ALL",1992,2,700,1000,10,"0700-1000"
"ALL",1992,2,1000,1500,11,"1000-1500"
"ALL",1992,2,1500,9999,12,"1500-9999"
"ALL",1992,3,50,70,1,"0050-0070"
"ALL",1992,3,70,100,2,"0070-0100"
"ALL",1992,3,100,150,3,"0100-0150"
"ALL",1992,3,150,200,4,"0150-0200"
"ALL",1992,3,200,250,5,"0200-0250"
"ALL",1992,3,250,300,6,"0250-0300"
"ALL",1992,3,300,400,7,"0300-0400"
"ALL",1992,3,400,500,8,"0400-0500"
"ALL",1992,3,500,700,9,"0500-0700"
"ALL",1992,3,700,1000,10,"0700-1000"
"ALL",1992,3,1000,1500,11,"1000-1500"
"ALL",1992,3,1500,9999,12,"1500-9999"
"ALL",1992,4,50,70,1,"0050-0070"
"ALL",1992,4,70,100,2,"0070-0100"
"ALL",1992,4,100,150,3,"0100-0150"
"ALL",1992,4,150,200,4,"0150-0200"
"ALL",1992,4,200,250,5,"0200-0250"
"ALL",1992,4,250,300,6,"0250-0300"
"ALL",1992,4,300,400,7,"0300-0400"
"ALL",1992,4,400,500,8,"0400-0500"
"ALL",1992,4,500,700,9,"0500-0700"
"ALL",1992,4,700,1000,10,"0700-1000"
"ALL",1992,4,1000,1500,11,"1000-1500"
"ALL",1992,4,1500,9999,12,"1500-9999"
"ALL",1993,1,50,70,1,"0050-0070"
"ALL",1993,1,70,100,2,"0070-0100"
"ALL",1993,1,100,150,3,"0100-0150"
"ALL",1993,1,150,200,4,"0150-0200"
"ALL",1993,1,200,250,5,"0200-0250"
"ALL",1993,1,250,300,6,"0250-0300"
"ALL",1993,1,300,400,7,"0300-0400"
"ALL",1993,1,400,500,8,"0400-0500"
"ALL",1993,1,500,700,9,"0500-0700"
"ALL",1993,1,700,1000,10,"0700-1000"
"ALL",1993,1,1000,1500,11,"1000-1500"
"ALL",1993,1,1500,9999,12,"1500-9999"
"ALL",1993,2,50,70,1,"0050-0070"
"ALL",1993,2,70,100,2,"0070-0100"
"ALL",1993,2,100,150,3,"0100-0150"
"ALL",1993,2,150,200,4,"0150-0200"
"ALL",1993,2,200,250,5,"0200-0250"
"ALL",1993,2,250,300,6,"0250-0300"
"ALL",1993,2,300,400,7,"0300-0400"
"ALL",1993,2,400,500,8,"0400-0500"
"ALL",1993,2,500,700,9,"0500-0700"
"ALL",1993,2,700,1000,10,"0700-1000"
"ALL",1993,2,1000,1500,11,"1000-1500"
"ALL",1993,2,1500,9999,12,"1500-9999"
"ALL",1993,3,50,70,1,"0050-0070"
"ALL",1993,3,70,100,2,"0070-0100"
"ALL",1993,3,100,150,3,"0100-0150"
"ALL",1993,3,150,200,4,"0150-0200"
"ALL",1993,3,200,250,5,"0200-0250"
"ALL",1993,3,250,300,6,"0250-0300"
"ALL",1993,3,300,400,7,"0300-0400"
"ALL",1993,3,400,500,8,"0400-0500"
"ALL",1993,3,500,700,9,"0500-0700"
"ALL",1993,3,700,1000,10,"0700-1000"
"ALL",1993,3,1000,1500,11,"1000-1500"
"ALL",1993,3,1500,9999,12,"1500-9999"
"ALL",1993,4,50,70,1,"0050-0070"
"ALL",1993,4,70,100,2,"0070-0100"
"ALL",1993,4,100,150,3,"0100-0150"
"ALL",1993,4,150,200,4,"0150-0200"
"ALL",1993,4,200,250,5,"0200-0250"
"ALL",1993,4,250,300,6,"0250-0300"
"ALL",1993,4,300,400,7,"0300-0400"
"ALL",1993,4,400,500,8,"0400-0500"
"ALL",1993,4,500,700,9,"0500-0700"
"ALL",1993,4,700,1000,10,"0700-1000"
"ALL",1993,4,1000,1500,11,"1000-1500"
"ALL",1993,4,1500,9999,12,"1500-9999"
"ALL",1994,1,50,70,1,"0050-0070"
"ALL",1994,1,70,100,2,"0070-0100"
"ALL",1994,1,100,150,3,"0100-0150"
"ALL",1994,1,150,200,4,"0150-0200"
"ALL",1994,1,200,250,5,"0200-0250"
"ALL",1994,1,250,300,6,"0250-0300"
"ALL",1994,1,300,400,7,"0300-0400"
"ALL",1994,1,400,500,8,"0400-0500"
"ALL",1994,1,500,700,9,"0500-0700"
"ALL",1994,1,700,1000,10,"0700-1000"
"ALL",1994,1,1000,1500,11,"1000-1500"
"ALL",1994,1,1500,9999,12,"1500-9999"
"ALL",1994,2,50,70,1,"0050-0070"
"ALL",1994,2,70,100,2,"0070-0100"
"ALL",1994,2,100,150,3,"0100-0150"
"ALL",1994,2,150,200,4,"0150-0200"
"ALL",1994,2,200,250,5,"0200-0250"
"ALL",1994,2,250,300,6,"0250-0300"
"ALL",1994,2,300,400,7,"0300-0400"
"ALL",1994,2,400,500,8,"0400-0500"
"ALL",1994,2,500,700,9,"0500-0700"
"ALL",1994,2,700,1000,10,"0700-1000"
"ALL",1994,2,1000,1500,11,"1000-1500"
"ALL",1994,2,1500,9999,12,"1500-9999"
"ALL",1994,3,50,70,1,"0050-0070"
"ALL",1994,3,70,100,2,"0070-0100"
"ALL",1994,3,100,150,3,"0100-0150"
"ALL",1994,3,150,200,4,"0150-0200"
"ALL",1994,3,200,250,5,"0200-0250"
"ALL",1994,3,250,300,6,"0250-0300"
"ALL",1994,3,300,400,7,"0300-0400"
"ALL",1994,3,400,500,8,"0400-0500"
"ALL",1994,3,500,700,9,"0500-0700"
"ALL",1994,3,700,1000,10,"0700-1000"
"ALL",1994,3,1000,1500,11,"1000-1500"
"ALL",1994,3,1500,9999,12,"1500-9999"
"ALL",1994,4,50,70,1,"0050-0070"
"ALL",1994,4,70,100,2,"0070-0100"
"ALL",1994,4,100,150,3,"0100-0150"
"ALL",1994,4,150,200,4,"0150-0200"
"ALL",1994,4,200,250,5,"0200-0250"
"ALL",1994,4,250,300,6,"0250-0300"
"ALL",1994,4,300,400,7,"0300-0400"
"ALL",1994,4,400,500,8,"0400-0500"
"ALL",1994,4,500,700,9,"0500-0700"
"ALL",1994,4,700,1000,10,"0700-1000"
"ALL",1994,4,1000,1500,11,"1000-1500"
"ALL",1994,4,1500,9999,12,"1500-9999"
"ALL",1995,1,50,70,1,"0050-0070"
"ALL",1995,1,70,100,2,"0070-0100"
"ALL",1995,1,100,150,3,"0100-0150"
"ALL",1995,1,150,200,4,"0150-0200"
"ALL",1995,1,200,250,5,"0200-0250"
"ALL",1995,1,250,300,6,"0250-0300"
"ALL",1995,1,300,400,7,"0300-0400"
"ALL",1995,1,400,500,8,"0400-0500"
"ALL",1995,1,500,700,9,"0500-0700"
"ALL",1995,1,700,1000,10,"0700-1000"
"ALL",1995,1,1000,1500,11,"1000-1500"
"ALL",1995,1,1500,9999,12,"1500-9999"
"ALL",1995,2,50,70,1,"0050-0070"
"ALL",1995,2,70,100,2,"0070-0100"
"ALL",1995,2,100,150,3,"0100-0150"
"ALL",1995,2,150,200,4,"0150-0200"
"ALL",1995,2,200,250,5,"0200-0250"
"ALL",1995,2,250,300,6,"0250-0300"
"ALL",1995,2,300,400,7,"0300-0400"
"ALL",1995,2,400,500,8,"0400-0500"
"ALL",1995,2,500,700,9,"0500-0700"
"ALL",1995,2,700,1000,10,"0700-1000"
"ALL",1995,2,1000,1500,11,"1000-1500"
"ALL",1995,2,1500,9999,12,"1500-9999"
"ALL",1995,3,50,70,1,"0050-0070"
"ALL",1995,3,70,100,2,"0070-0100"
"ALL",1995,3,100,150,3,"0100-0150"
"ALL",1995,3,150,200,4,"0150-0200"
"ALL",1995,3,200,250,5,"0200-0250"
"ALL",1995,3,250,300,6,"0250-0300"
"ALL",1995,3,300,400,7,"0300-0400"
"ALL",1995,3,400,500,8,"0400-0500"
"ALL",1995,3,500,700,9,"0500-0700"
"ALL",1995,3,700,1000,10,"0700-1000"
"ALL",1995,3,1000,1500,11,"1000-1500"
"ALL",1995,3,1500,9999,12,"1500-9999"
"ALL",1995,4,50,70,1,"0050-0070"
"ALL",1995,4,70,100,2,"0070-0100"
"ALL",1995,4,100,150,3,"0100-0150"
"ALL",1995,4,150,200,4,"0150-0200"
"ALL",1995,4,200,250,5,"0200-0250"
"ALL",1995,4,250,300,6,"0250-0300"
"ALL",1995,4,300,400,7,"0300-0400"
"ALL",1995,4,400,500,8,"0400-0500"
"ALL",1995,4,500,700,9,"0500-0700"
"ALL",1995,4,700,1000,10,"0700-1000"
"ALL",1995,4,1000,1500,11,"1000-1500"
"ALL",1995,4,1500,9999,12,"1500-9999"
"ALL",1996,1,50,70,1,"0050-0070"
"ALL",1996,1,70,100,2,"0070-0100"
"ALL",1996,1,100,150,3,"0100-0150"
"ALL",1996,1,150,200,4,"0150-0200"
"ALL",1996,1,200,250,5,"0200-0250"
"ALL",1996,1,250,300,6,"0250-0300"
"ALL",1996,1,300,400,7,"0300-0400"
"ALL",1996,1,400,500,8,"0400-0500"
"ALL",1996,1,500,700,9,"0500-0700"
"ALL",1996,1,700,1000,10,"0700-1000"
"ALL",1996,1,1000,1500,11,"1000-1500"
"ALL",1996,1,1500,9999,12,"1500-9999"
"ALL",1996,2,50,70,1,"0050-0070"
"ALL",1996,2,70,100,2,"0070-0100"
"ALL",1996,2,100,150,3,"0100-0150"
"ALL",1996,2,150,200,4,"0150-0200"
"ALL",1996,2,200,250,5,"0200-0250"
"ALL",1996,2,250,300,6,"0250-0300"
"ALL",1996,2,300,400,7,"0300-0400"
"ALL",1996,2,400,500,8,"0400-0500"
"ALL",1996,2,500,700,9,"0500-0700"
"ALL",1996,2,700,1000,10,"0700-1000"
"ALL",1996,2,1000,1500,11,"1000-1500"
"ALL",1996,2,1500,9999,12,"1500-9999"
"ALL",1996,3,50,70,1,"0050-0070"
"ALL",1996,3,70,100,2,"0070-0100"
"ALL",1996,3,100,150,3,"0100-0150"
"ALL",1996,3,150,200,4,"0150-0200"
"ALL",1996,3,200,250,5,"0200-0250"
"ALL",1996,3,250,300,6,"0250-0300"
"ALL",1996,3,300,400,7,"0300-0400"
"ALL",1996,3,400,500,8,"0400-0500"
"ALL",1996,3,500,700,9,"0500-0700"
"ALL",1996,3,700,1000,10,"0700-1000"
"ALL",1996,3,1000,1500,11,"1000-1500"
"ALL",1996,3,1500,9999,12,"1500-9999"
"ALL",1996,4,50,70,1,"0050-0070"
"ALL",1996,4,70,100,2,"0070-0100"
"ALL",1996,4,100,150,3,"0100-0150"
"ALL",1996,4,150,200,4,"0150-0200"
"ALL",1996,4,200,250,5,"0200-0250"
"ALL",1996,4,250,300,6,"0250-0300"
"ALL",1996,4,300,400,7,"0300-0400"
"ALL",1996,4,400,500,8,"0400-0500"
"ALL",1996,4,500,700,9,"0500-0700"
"ALL",1996,4,700,1000,10,"0700-1000"
"ALL",1996,4,1000,1500,11,"1000-1500"
"ALL",1996,4,1500,9999,12,"1500-9999"
"ALL",1997,1,50,70,1,"0050-0070"
"ALL",1997,1,70,100,2,"0070-0100"
"ALL",1997,1,100,150,3,"0100-0150"
"ALL",1997,1,150,200,4,"0150-0200"
"ALL",1997,1,200,250,5,"0200-0250"
"ALL",1997,1,250,300,6,"0250-0300"
"ALL",1997,1,300,400,7,"0300-0400"
"ALL",1997,1,400,500,8,"0400-0500"
"ALL",1997,1,500,700,9,"0500-0700"
"ALL",1997,1,700,1000,10,"0700-1000"
"ALL",1997,1,1000,1500,11,"1000-1500"
"ALL",1997,1,1500,9999,12,"1500-9999"
"ALL",1997,2,50,70,1,"0050-0070"
"ALL",1997,2,70,100,2,"0070-0100"
"ALL",1997,2,100,150,3,"0100-0150"
"ALL",1997,2,150,200,4,"0150-0200"
"ALL",1997,2,200,250,5,"0200-0250"
"ALL",1997,2,250,300,6,"0250-0300"
"ALL",1997,2,300,400,7,"0300-0400"
"ALL",1997,2,400,500,8,"0400-0500"
"ALL",1997,2,500,700,9,"0500-0700"
"ALL",1997,2,700,1000,10,"0700-1000"
"ALL",1997,2,1000,1500,11,"1000-1500"
"ALL",1997,2,1500,9999,12,"1500-9999"
"ALL",1997,3,50,70,1,"0050-0070"
"ALL",1997,3,70,100,2,"0070-0100"
"ALL",1997,3,100,150,3,"0100-0150"
"ALL",1997,3,150,200,4,"0150-0200"
"ALL",1997,3,200,250,5,"0200-0250"
"ALL",1997,3,250,300,6,"0250-0300"
"ALL",1997,3,300,400,7,"0300-0400"
"ALL",1997,3,400,500,8,"0400-0500"
"ALL",1997,3,500,700,9,"0500-0700"
"ALL",1997,3,700,1000,10,"0700-1000"
"ALL",1997,3,1000,1500,11,"1000-1500"
"ALL",1997,3,1500,9999,12,"1500-9999"
"ALL",1997,4,50,70,1,"0050-0070"
"ALL",1997,4,70,100,2,"0070-0100"
"ALL",1997,4,100,150,3,"0100-0150"
"ALL",1997,4,150,200,4,"0150-0200"
"ALL",1997,4,200,250,5,"0200-0250"
"ALL",1997,4,250,300,6,"0250-0300"
"ALL",1997,4,300,400,7,"0300-0400"
"ALL",1997,4,400,500,8,"0400-0500"
"ALL",1997,4,500,700,9,"0500-0700"
"ALL",1997,4,700,1000,10,"0700-1000"
"ALL",1997,4,1000,1500,11,"1000-1500"
"ALL",1997,4,1500,9999,12,"1500-9999"
"ALL",1998,1,50,70,1,"0050-0070"
"ALL",1998,1,70,100,2,"0070-0100"
"ALL",1998,1,100,150,3,"0100-0150"
"ALL",1998,1,150,200,4,"0150-0200"
"ALL",1998,1,200,250,5,"0200-0250"
"ALL",1998,1,250,300,6,"0250-0300"
"ALL",1998,1,300,400,7,"0300-0400"
"ALL",1998,1,400,500,8,"0400-0500"
"ALL",1998,1,500,700,9,"0500-0700"
"ALL",1998,1,700,1000,10,"0700-1000"
"ALL",1998,1,1000,1500,11,"1000-1500"
"ALL",1998,1,1500,9999,12,"1500-9999"
"ALL",1998,2,50,70,1,"0050-0070"
"ALL",1998,2,70,100,2,"0070-0100"
"ALL",1998,2,100,150,3,"0100-0150"
"ALL",1998,2,150,200,4,"0150-0200"
"ALL",1998,2,200,250,5,"0200-0250"
"ALL",1998,2,250,300,6,"0250-0300"
"ALL",1998,2,300,400,7,"0300-0400"
"ALL",1998,2,400,500,8,"0400-0500"
"ALL",1998,2,500,700,9,"0500-0700"
"ALL",1998,2,700,1000,10,"0700-1000"
"ALL",1998,2,1000,1500,11,"1000-1500"
"ALL",1998,2,1500,9999,12,"1500-9999"
"ALL",1998,3,50,70,1,"0050-0070"
"ALL",1998,3,70,100,2,"0070-0100"
"ALL",1998,3,100,150,3,"0100-0150"
"ALL",1998,3,150,200,4,"0150-0200"
"ALL",1998,3,200,250,5,"0200-0250"
"ALL",1998,3,250,300,6,"0250-0300"
"ALL",1998,3,300,400,7,"0300-0400"
"ALL",1998,3,400,500,8,"0400-0500"
"ALL",1998,3,500,700,9,"0500-0700"
"ALL",1998,3,700,1000,10,"0700-1000"
"ALL",1998,3,1000,1500,11,"1000-1500"
"ALL",1998,3,1500,9999,12,"1500-9999"
"ALL",1998,4,50,70,1,"0050-0070"
"ALL",1998,4,70,100,2,"0070-0100"
"ALL",1998,4,100,150,3,"0100-0150"
"ALL",1998,4,150,200,4,"0150-0200"
"ALL",1998,4,200,250,5,"0200-0250"
"ALL",1998,4,250,300,6,"0250-0300"
"ALL",1998,4,300,400,7,"0300-0400"
"ALL",1998,4,400,500,8,"0400-0500"
"ALL",1998,4,500,700,9,"0500-0700"
"ALL",1998,4,700,1000,10,"0700-1000"
"ALL",1998,4,1000,1500,11,"1000-1500"
"ALL",1998,4,1500,9999,12,"1500-9999"
"ALL",1999,1,50,70,1,"0050-0070"
"ALL",1999,1,70,100,2,"0070-0100"
"ALL",1999,1,100,150,3,"0100-0150"
"ALL",1999,1,150,200,4,"0150-0200"
"ALL",1999,1,200,250,5,"0200-0250"
"ALL",1999,1,250,300,6,"0250-0300"
"ALL",1999,1,300,400,7,"0300-0400"
"ALL",1999,1,400,500,8,"0400-0500"
"ALL",1999,1,500,700,9,"0500-0700"
"ALL",1999,1,700,1000,10,"0700-1000"
"ALL",1999,1,1000,1500,11,"1000-1500"
"ALL",1999,1,1500,9999,12,"1500-9999"
"ALL",1999,2,50,70,1,"0050-0070"
"ALL",1999,2,70,100,2,"0070-0100"
"ALL",1999,2,100,150,3,"0100-0150"
"ALL",1999,2,150,200,4,"0150-0200"
"ALL",1999,2,200,250,5,"0200-0250"
"ALL",1999,2,250,300,6,"0250-0300"
"ALL",1999,2,300,400,7,"0300-0400"
"ALL",1999,2,400,500,8,"0400-0500"
"ALL",1999,2,500,700,9,"0500-0700"
"ALL",1999,2,700,1000,10,"0700-1000"
"ALL",1999,2,1000,1500,11,"1000-1500"
"ALL",1999,2,1500,9999,12,"1500-9999"
"ALL",1999,3,50,70,1,"0050-0070"
"ALL",1999,3,70,100,2,"0070-0100"
"ALL",1999,3,100,150,3,"0100-0150"
"ALL",1999,3,150,200,4,"0150-0200"
"ALL",1999,3,200,250,5,"0200-0250"
"ALL",1999,3,250,300,6,"0250-0300"
"ALL",1999,3,300,400,7,"0300-0400"
"ALL",1999,3,400,500,8,"0400-0500"
"ALL",1999,3,500,700,9,"0500-0700"
"ALL",1999,3,700,1000,10,"0700-1000"
"ALL",1999,3,1000,1500,11,"1000-1500"
"ALL",1999,3,1500,9999,12,"1500-9999"
"ALL",1999,4,50,70,1,"0050-0070"
"ALL",1999,4,70,100,2,"0070-0100"
"ALL",1999,4,100,150,3,"0100-0150"
"ALL",1999,4,150,200,4,"0150-0200"
"ALL",1999,4,200,250,5,"0200-0250"
"ALL",1999,4,250,300,6,"0250-0300"
"ALL",1999,4,300,400,7,"0300-0400"
"ALL",1999,4,400,500,8,"0400-0500"
"ALL",1999,4,500,700,9,"0500-0700"
"ALL",1999,4,700,1000,10,"0700-1000"
"ALL",1999,4,1000,1500,11,"1000-1500"
"ALL",1999,4,1500,9999,12,"1500-9999"
"ALL",2000,1,50,70,1,"0050-0070"
"ALL",2000,1,70,100,2,"0070-0100"
"ALL",2000,1,100,150,3,"0100-0150"
"ALL",2000,1,150,200,4,"0150-0200"
"ALL",2000,1,200,250,5,"0200-0250"
"ALL",2000,1,250,300,6,"0250-0300"
"ALL",2000,1,300,400,7,"0300-0400"
"ALL",2000,1,400,500,8,"0400-0500"
"ALL",2000,1,500,700,9,"0500-0700"
"ALL",2000,1,700,1000,10,"0700-1000"
"ALL",2000,1,1000,1500,11,"1000-1500"
"ALL",2000,1,1500,9999,12,"1500-9999"
"ALL",2000,2,50,70,1,"0050-0070"
"ALL",2000,2,70,100,2,"0070-0100"
"ALL",2000,2,100,150,3,"0100-0150"
"ALL",2000,2,150,200,4,"0150-0200"
"ALL",2000,2,200,250,5,"0200-0250"
"ALL",2000,2,250,300,6,"0250-0300"
"ALL",2000,2,300,400,7,"0300-0400"
"ALL",2000,2,400,500,8,"0400-0500"
"ALL",2000,2,500,700,9,"0500-0700"
"ALL",2000,2,700,1000,10,"0700-1000"
"ALL",2000,2,1000,1500,11,"1000-1500"
"ALL",2000,2,1500,9999,12,"1500-9999"
"ALL",2000,3,50,70,1,"0050-0070"
"ALL",2000,3,70,100,2,"0070-0100"
"ALL",2000,3,100,150,3,"0100-0150"
"ALL",2000,3,150,200,4,"0150-0200"
"ALL",2000,3,200,250,5,"0200-0250"
"ALL",2000,3,250,300,6,"0250-0300"
"ALL",2000,3,300,400,7,"0300-0400"
"ALL",2000,3,400,500,8,"0400-0500"
"ALL",2000,3,500,700,9,"0500-0700"
"ALL",2000,3,700,1000,10,"0700-1000"
"ALL",2000,3,1000,1500,11,"1000-1500"
"ALL",2000,3,1500,9999,12,"1500-9999"
"ALL",2000,4,50,70,1,"0050-0070"
"ALL",2000,4,70,100,2,"0070-0100"
"ALL",2000,4,100,150,3,"0100-0150"
"ALL",2000,4,150,200,4,"0150-0200"
"ALL",2000,4,200,250,5,"0200-0250"
"ALL",2000,4,250,300,6,"0250-0300"
"ALL",2000,4,300,400,7,"0300-0400"
"ALL",2000,4,400,500,8,"0400-0500"
"ALL",2000,4,500,700,9,"0500-0700"
"ALL",2000,4,700,1000,10,"0700-1000"
"ALL",2000,4,1000,1500,11,"1000-1500"
"ALL",2000,4,1500,9999,12,"1500-9999"
"ALL",2001,1,50,70,1,"0050-0070"
"ALL",2001,1,70,100,2,"0070-0100"
"ALL",2001,1,100,150,3,"0100-0150"
"ALL",2001,1,150,200,4,"0150-0200"
"ALL",2001,1,200,250,5,"0200-0250"
"ALL",2001,1,250,300,6,"0250-0300"
"ALL",2001,1,300,400,7,"0300-0400"
"ALL",2001,1,400,500,8,"0400-0500"
"ALL",2001,1,500,700,9,"0500-0700"
"ALL",2001,1,700,1000,10,"0700-1000"
"ALL",2001,1,1000,1500,11,"1000-1500"
"ALL",2001,1,1500,9999,12,"1500-9999"
"ALL",2001,2,50,70,1,"0050-0070"
"ALL",2001,2,70,100,2,"0070-0100"
"ALL",2001,2,100,150,3,"0100-0150"
"ALL",2001,2,150,200,4,"0150-0200"
"ALL",2001,2,200,250,5,"0200-0250"
"ALL",2001,2,250,300,6,"0250-0300"
"ALL",2001,2,300,400,7,"0300-0400"
"ALL",2001,2,400,500,8,"0400-0500"
"ALL",2001,2,500,700,9,"0500-0700"
"ALL",2001,2,700,1000,10,"0700-1000"
"ALL",2001,2,1000,1500,11,"1000-1500"
"ALL",2001,2,1500,9999,12,"1500-9999"
"ALL",2001,3,50,70,1,"0050-0070"
"ALL",2001,3,70,100,2,"0070-0100"
"ALL",2001,3,100,150,3,"0100-0150"
"ALL",2001,3,150,200,4,"0150-0200"
"ALL",2001,3,200,250,5,"0200-0250"
"ALL",2001,3,250,300,6,"0250-0300"
"ALL",2001,3,300,400,7,"0300-0400"
"ALL",2001,3,400,500,8,"0400-0500"
"ALL",2001,3,500,700,9,"0500-0700"
"ALL",2001,3,700,1000,10,"0700-1000"
"ALL",2001,3,1000,1500,11,"1000-1500"
"ALL",2001,3,1500,9999,12,"1500-9999"
"ALL",2001,4,50,70,1,"0050-0070"
"ALL",2001,4,70,100,2,"0070-0100"
"ALL",2001,4,100,150,3,"0100-0150"
"ALL",2001,4,150,200,4,"0150-0200"
"ALL",2001,4,200,250,5,"0200-0250"
"ALL",2001,4,250,300,6,"0250-0300"
"ALL",2001,4,300,400,7,"0300-0400"
"ALL",2001,4,400,500,8,"0400-0500"
"ALL",2001,4,500,700,9,"0500-0700"
"ALL",2001,4,700,1000,10,"0700-1000"
"ALL",2001,4,1000,1500,11,"1000-1500"
"ALL",2001,4,1500,9999,12,"1500-9999"
"ALL",2002,1,50,70,1,"0050-0070"
"ALL",2002,1,70,100,2,"0070-0100"
"ALL",2002,1,100,150,3,"0100-0150"
"ALL",2002,1,150,200,4,"0150-0200"
"ALL",2002,1,200,250,5,"0200-0250"
"ALL",2002,1,250,300,6,"0250-0300"
"ALL",2002,1,300,400,7,"0300-0400"
"ALL",2002,1,400,500,8,"0400-0500"
"ALL",2002,1,500,700,9,"0500-0700"
"ALL",2002,1,700,1000,10,"0700-1000"
"ALL",2002,1,1000,1500,11,"1000-1500"
"ALL",2002,1,1500,9999,12,"1500-9999"
"ALL",2002,2,50,70,1,"0050-0070"
"ALL",2002,2,70,100,2,"0070-0100"
"ALL",2002,2,100,150,3,"0100-0150"
"ALL",2002,2,150,200,4,"0150-0200"
"ALL",2002,2,200,250,5,"0200-0250"
"ALL",2002,2,250,300,6,"0250-0300"
"ALL",2002,2,300,400,7,"0300-0400"
"ALL",2002,2,400,500,8,"0400-0500"
"ALL",2002,2,500,700,9,"0500-0700"
"ALL",2002,2,700,1000,10,"0700-1000"
"ALL",2002,2,1000,1500,11,"1000-1500"
"ALL",2002,2,1500,9999,12,"1500-9999"
"ALL",2002,3,50,70,1,"0050-0070"
"ALL",2002,3,70,100,2,"0070-0100"
"ALL",2002,3,100,150,3,"0100-0150"
"ALL",2002,3,150,200,4,"0150-0200"
"ALL",2002,3,200,250,5,"0200-0250"
"ALL",2002,3,250,300,6,"0250-0300"
"ALL",2002,3,300,400,7,"0300-0400"
"ALL",2002,3,400,500,8,"0400-0500"
"ALL",2002,3,500,700,9,"0500-0700"
"ALL",2002,3,700,1000,10,"0700-1000"
"ALL",2002,3,1000,1500,11,"1000-1500"
"ALL",2002,3,1500,9999,12,"1500-9999"
"ALL",2002,4,50,70,1,"0050-0070"
"ALL",2002,4,70,100,2,"0070-0100"
"ALL",2002,4,100,150,3,"0100-0150"
"ALL",2002,4,150,200,4,"0150-0200"
"ALL",2002,4,200,250,5,"0200-0250"
"ALL",2002,4,250,300,6,"0250-0300"
"ALL",2002,4,300,400,7,"0300-0400"
"ALL",2002,4,400,500,8,"0400-0500"
"ALL",2002,4,500,700,9,"0500-0700"
"ALL",2002,4,700,1000,10,"0700-1000"
"ALL",2002,4,1000,1500,11,"1000-1500"
"ALL",2002,4,1500,9999,12,"1500-9999"
"ALL",2003,1,50,70,1,"0050-0070"
"ALL",2003,1,70,100,2,"0070-0100"
"ALL",2003,1,100,150,3,"0100-0150"
"ALL",2003,1,150,200,4,"0150-0200"
"ALL",2003,1,200,250,5,"0200-0250"
"ALL",2003,1,250,300,6,"0250-0300"
"ALL",2003,1,300,400,7,"0300-0400"
"ALL",2003,1,400,500,8,"0400-0500"
"ALL",2003,1,500,700,9,"0500-0700"
"ALL",2003,1,700,1000,10,"0700-1000"
"ALL",2003,1,1000,1500,11,"1000-1500"
"ALL",2003,1,1500,9999,12,"1500-9999"
"ALL",2003,2,50,70,1,"0050-0070"
"ALL",2003,2,70,100,2,"0070-0100"
"ALL",2003,2,100,150,3,"0100-0150"
"ALL",2003,2,150,200,4,"0150-0200"
"ALL",2003,2,200,250,5,"0200-0250"
"ALL",2003,2,250,300,6,"0250-0300"
"ALL",2003,2,300,400,7,"0300-0400"
"ALL",2003,2,400,500,8,"0400-0500"
"ALL",2003,2,500,700,9,"0500-0700"
"ALL",2003,2,700,1000,10,"0700-1000"
"ALL",2003,2,1000,1500,11,"1000-1500"
"ALL",2003,2,1500,9999,12,"1500-9999"
"ALL",2003,3,50,70,1,"0050-0070"
"ALL",2003,3,70,100,2,"0070-0100"
"ALL",2003,3,100,150,3,"0100-0150"
"ALL",2003,3,150,200,4,"0150-0200"
"ALL",2003,3,200,250,5,"0200-0250"
"ALL",2003,3,250,300,6,"0250-0300"
"ALL",2003,3,300,400,7,"0300-0400"
"ALL",2003,3,400,500,8,"0400-0500"
"ALL",2003,3,500,700,9,"0500-0700"
"ALL",2003,3,700,1000,10,"0700-1000"
"ALL",2003,3,1000,1500,11,"1000-1500"
"ALL",2003,3,1500,9999,12,"1500-9999"
"ALL",2003,4,50,70,1,"0050-0070"
"ALL",2003,4,70,100,2,"0070-0100"
"ALL",2003,4,100,150,3,"0100-0150"
