Species.n Year Quarter Age N west consum size
1 1986 1 2 1.73682e+006 0.021033 0.03 119
1 1986 1 3 464219 0.054338 0.065 167
1 1986 1 4 301456 0.122909 0.12 219
1 1986 1 5 161439 0.225777 0.192 269
1 1986 1 6 153258 0.37322 0.28 317
1 1986 1 7 65709 0.58847 0.396 369
1 1986 1 8 101561 0.976641 0.574 434
1 1986 1 9 48644 1.83577 0.923 534
1 1986 1 10 21472 3.0879 1.361 633
1 1986 1 11 10541 5.63902 2.068 760
1 1986 2 1 184651 0.003646 0.004 50
1 1986 2 2 971940 0.023331 0.033 124
1 1986 2 3 668375 0.055983 0.066 169
1 1986 2 4 398815 0.116075 0.115 215
1 1986 2 5 143873 0.226378 0.192 269
1 1986 2 6 153238 0.374113 0.282 318
1 1986 2 7 62916 0.587352 0.396 369
1 1986 2 8 88662 0.97274 0.574 434
1 1986 2 9 39868 1.83144 0.923 534
1 1986 2 10 17240 3.08904 1.361 633
1 1986 2 11 8605 5.64472 2.068 760
1 1986 3 0 -1 -1 0 -1
1 1986 3 1 3.06105e+006 0.003646 0.004 50
1 1986 3 2 449596 0.024332 0.034 126
1 1986 3 3 527962 0.057444 0.067 170
1 1986 3 4 537134 0.117748 0.117 216
1 1986 3 5 157849 0.224363 0.192 269
1 1986 3 6 149692 0.375563 0.282 318
1 1986 3 7 65658 0.587415 0.396 369
1 1986 3 8 88143 0.968223 0.571 433
1 1986 3 9 37971 1.82973 0.919 533
1 1986 3 10 16304 3.09078 1.361 633
1 1986 3 11 8360 5.65923 2.074 761
1 1986 4 0 -1 -1 0 -1
1 1986 4 1 1.45161e+006 0.003646 0.004 50
1 1986 4 2 965383 0.017322 0.025 111
1 1986 4 3 323280 0.058205 0.068 171
1 1986 4 4 517587 0.121938 0.12 219
1 1986 4 5 204144 0.22398 0.192 269
1 1986 4 6 160335 0.372445 0.28 317
