Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
21 1998  1.42372e+07 1.08058e+06 1.3676e+06 380193 362101 380193 380193 362101 380193 0.382433 408523
21 1999  4.06099e+07 1.12695e+06 1.3277e+06 369622 298485 369622 369622 298485 369622 0.28447 462762
21 2000  2.65397e+07 1.16473e+06 1.47863e+06 421779 359934 421779 421779 359934 421779 0.29781 470269
21 2001  7.03661e+07 1.55153e+06 1.9001e+06 363691 364612 363691 363691 364612 363691 0.228986 821036
21 2002  2.78112e+07 1.93657e+06 2.40679e+06 390438 395969 390438 390438 395969 390438 0.211387 984756
21 2003  1.75981e+07 2.16264e+06 3.1096e+06 487432 528856 487432 487432 528856 487432 0.235511 875386
21 2004  1.94574e+07 2.38178e+06 3.10083e+06 589576 628726 589576 589576 628726 589576 0.247173 889404
21 2005  1.38602e+07 2.33549e+06 2.55686e+06 665396 706927 665396 665396 706927 665396 0.315408 660818
21 2006  1.62368e+07 1.71287e+06 1.9187e+06 513247 470879 513247 513247 470879 513247 0.251414 538303
21 2007  2.18455e+07 1.31474e+06 1.48797e+06 406368 335331 406368 406368 335331 406368 0.221412 497472
21 2008  1.94674e+07 1.15742e+06 1.29846e+06 258713 216398 258713 258713 216398 258713 0.154604 440588
21 2009  2.34626e+07 1.30589e+06 1.44155e+06 168589 153238 168589 168589 153238 168589 0.091754 431338
21 2010  2.27585e+07 1.3963e+06 1.77777e+06 186255 192863 186255 186255 192863 186255 0.10859 499846
21 2011  1.85403e+07 1.86879e+06 2.13106e+06 224049 208775 224049 224049 208775 224049 0.104047 575543
21 2012  1.98208e+07 2.17126e+06 2.30119e+06 434509 428878 434509 434509 428878 434509 0.196888 573762
21 2013  3.31659e+07 1.95388e+06 2.12148e+06 511220 478512 511220 511220 478512 511220 0.233724 582729
21 2014  3.7275e+07 1.72899e+06 1.94395e+06 518042 439965 518042 518042 439965 518042 0.224973 614396
21 2015  1.25153e+07 1.65633e+06 2.08737e+06 494949 455806 494949 494949 455806 494949 0.246605 551920
21 2016  1.53508e+07 1.93596e+06 2.30474e+06 563618 472951 563618 563618 472951 563618 0.237172 579472
21 2017  8.22886e+06 1.82e+06 2.03627e+06 490975 330501 490975 490975 330501 490975 0.174459 506096
21 2018  1.56537e+07 1.61358e+06 1.8706e+06 591798 393693 591798 591798 393693 591798 0.214327 463078
21 2019  1.34475e+07 1.36716e+06 1.51986e+06 432123 317461 432123 432123 317461 432123 0.190044 352436
21 2020  1.70125e+07 1.28591e+06 1.44099e+06 427687 317275 427687 427687 317275 427687 0.21583 328756
21 2021  1.37948e+07 1.25851e+06 1.42571e+06 374908 265106 374908 374908 265106 374908 0.187839 370405
21 2022  1.75832e+07 1.27823e+06 1.46417e+06 445987 326659 445987 445987 326659 445987 0.250571 436527
21 2023  NA 1.13202e+06 NA NA NA NA NA NA NA NA NA
22 1974  3.48101e+08 385592 1.13438e+06 220388 190552 220388 220388 190552 220388 0.193997 1.43135e+06
22 1975  2.05196e+08 534877 937730 196585 186126 196585 196585 186126 196585 0.259259 998153
22 1976  2.16938e+08 293552 592279 110245 112298 110245 110245 112298 110245 0.236737 704463
22 1977  1.23144e+08 227633 611369 271729 259151 271729 271729 259151 271729 0.566043 466546
22 1978  2.08296e+08 216423 471497 133700 129158 133700 133700 129158 133700 0.294383 500703
22 1979  3.19352e+08 267899 670095 202374 72831.1 202374 202374 72831.1 202374 0.111067 823286
22 1980  1.72837e+08 451799 1.03858e+06 303285 281290 303285 303285 281290 303285 0.348832 922987
22 1981  2.25149e+08 428777 739081 152257 145452 152257 152257 145452 152257 0.234912 817661
22 1982  1.96162e+08 320558 639810 87780.1 107947 87780.1 87780.1 107947 87780.1 0.217257 636582
22 1983  1.72126e+08 321661 705434 81410.9 59350.3 81410.9 81410.9 59350.3 81410.9 0.0911485 637813
22 1984  1.20321e+08 454017 819889 97872.5 62783.3 97872.5 97872.5 62783.3 97872.5 0.0895502 685304
22 1985  2.22477e+08 496789 753290 89680 102329 89680 89680 102329 89680 0.148894 655021
22 1986  2.51145e+08 457862 937363 380423 235466 380423 380423 235466 380423 0.375363 789915
22 1987  1.21418e+08 452513 907088 406697 199127 406697 406697 199127 406697 0.267988 744249
22 1988  3.21163e+08 419278 616532 372984 227741 372984 372984 227741 372984 0.400246 725034
22 1989  1.89564e+08 305981 792287 492321 443194 492321 492321 443194 492321 0.9165 584468
22 1990  3.06382e+08 224994 484749 220066 312321 220066 220066 312321 220066 0.7429 649218
22 1991  3.12042e+08 171291 562726 376987 305320 376987 376987 305320 376987 0.551527 753200
22 1992  4.3598e+08 218733 640323 178362 201453 178362 178362 201453 178362 0.302798 1.11593e+06
22 1993  5.04462e+08 290680 772423 247966 151917 247966 247966 151917 247966 0.204988 1.31738e+06
22 1994  6.08505e+08 359167 1.02615e+06 499686 458864 499686 499686 458864 499686 0.827832 1.36559e+06
22 1995  2.349e+08 279014 1.01504e+06 407424 313711 407424 407424 313711 407424 0.329697 1.06537e+06
22 1996  7.9681e+08 321260 635140 286113 254972 286113 286113 254972 286113 0.330049 1.19062e+06
22 1997  1.06836e+08 301827 1.90579e+06 581619 411099 581619 581619 411099 581619 0.366638 1.22935e+06
22 1998  1.65823e+08 681322 1.01745e+06 506445 337190 506445 506445 337190 506445 0.461652 664252
22 1999  4.48055e+08 379035 706125 261940 215677 261940 261940 215677 261940 0.321357 949475
22 2000  1.87358e+08 346671 1.10432e+06 273480 334912 273480 273480 334912 273480 0.439045 915945
22 2001  1.64383e+08 278714 605662 234252 102593 234252 234252 102593 234252 0.258112 646038
22 2002  3.25149e+07 165687 453571 162661 173860 162661 162661 173860 162661 0.662081 292139
22 2003  8.30409e+07 92710.1 162662 58421.6 42809 58421.6 58421.6 42809 58421.6 0.389975 198032
22 2004  4.47371e+07 52136.5 205754 77882.4 101974 77882.4 77882.4 101974 77882.4 0.889246 149841
22 2005  6.85693e+07 36913.6 126007 23886.7 21697.8 23886.7 23886.7 21697.8 23886.7 0.273641 170030
22 2006  8.56034e+07 43353.6 175040 16483.1 12125.9 16483.1 16483.1 12125.9 16483.1 0.103821 231426
22 2007  6.25161e+07 67419.9 243509 90990 64560.9 90990 90990 64560.9 90990 0.323446 228817
22 2008  6.81517e+07 76010.2 213622 88488.6 146902 88488.6 88488.6 146902 88488.6 1.10399 171742
22 2009  1.0863e+08 39398.7 194130 29844.7 13339.5 29844.7 29844.7 13339.5 29844.7 0.111682 237746
22 2010  1.44338e+07 94623.6 375844 76705.8 89284.8 76705.8 76705.8 89284.8 76705.8 0.310622 219172
22 2011  1.45164e+07 136632 199089 95913.9 56534.6 95913.9 95913.9 56534.6 95913.9 0.27287 118282
22 2012  7.71608e+07 72442.7 104881 43055.2 11551.7 43055.2 43055.2 11551.7 43055.2 0.0923125 156272
22 2013  1.04384e+08 54276.5 220271 25480.3 27527 25480.3 25480.3 27527 25480.3 0.20296 251357
22 2014  1.21035e+08 89430.9 363002 137976 181419 137976 137976 181419 137976 0.900591 296882
22 2015  1.18943e+07 94526.2 407670 119697 133001 119697 119697 133001 119697 0.476203 236679
22 2016  3.70794e+08 118685 169834 46907.6 38750.6 46907.6 46907.6 38750.6 46907.6 0.244279 484102
22 2017  2.22307e+07 119706 1.06349e+06 204511 155576 204511 204511 155576 204511 0.300418 643055
22 2018  1.14571e+08 391400 549949 112208 122983 112208 112208 122983 112208 0.305263 353560
22 2019  2.44786e+08 242547 533242 145579 124393 145579 145579 124393 145579 0.326286 529794
22 2020  1.0272e+08 248300 891431 304897 240484 304897 304897 240484 304897 0.395766 644786
22 2021  8.66281e+07 277139 534814 182528 118228 182528 182528 118228 182528 0.298781 470716
22 2022  5.99132e+07 142579 313543 140040 102788 140040 140040 102788 140040 0.454266 284220
22 2023  NA 68300.6 NA NA NA NA NA NA NA NA NA
23 1974  2.32106e+08 424523 751574 118670 85970.1 118670 118670 85970.1 118670 0.104812 562170
23 1975  9.46957e+07 341028 1.00426e+06 162704 150041 162704 162704 150041 162704 0.164697 615529
23 1976  1.69115e+08 468179 795719 316414 288516 316414 316414 288516 316414 0.393602 480412
23 1977  2.79782e+08 268810 741756 314952 248108 314952 314952 248108 314952 0.393329 436551
23 1978  1.31075e+08 315795 1.22097e+06 665810 533301 665810 665810 533301 665810 0.630338 563537
23 1979  1.68902e+08 449417 892960 481048 515821 481048 481048 515821 481048 0.766149 300307
23 1980  1.05567e+08 304862 871078 420808 386442 420808 420808 386442 420808 0.590292 329994
23 1981  3.67517e+08 387086 762459 375286 365201 375286 375286 365201 375286 0.667491 575410
23 1982  3.52645e+07 225524 1.13745e+06 537998 525656 537998 537998 525656 537998 0.743783 454609
23 1983  2.72265e+08 437064 613730 455491 227007 455491 455491 227007 455491 0.415629 348559
23 1984  9.92999e+07 257737 1.05518e+06 569182 394967 569182 569182 394967 569182 0.540903 507030
23 1985  3.27318e+08 475284 813044 532829 495393 532829 532829 495393 532829 0.906349 375627
23 1986  8.07773e+07 222676 1.19192e+06 465159 306299 465159 465159 306299 465159 0.365432 606475
23 1987  7.17147e+07 646310 981495 415769 250003 415769 415769 250003 415769 0.259694 455209
23 1988  2.10654e+08 479215 698044 518102 306708 518102 518102 306708 518102 0.471784 361191
23 1989  1.14018e+08 262139 877249 536102 333381 536102 536102 333381 536102 0.595375 428060
23 1990  1.50456e+08 346888 711637 370075 383309 370075 370075 383309 370075 0.763752 347092
23 1991  2.67526e+08 207320 635214 464214 337375 464214 464214 337375 464214 0.532698 416996
23 1992  6.37363e+07 267512 1.05744e+06 673907 467404 673907 673907 467404 673907 0.486701 498493
23 1993  2.07208e+08 462254 709057 281050 294500 281050 281050 294500 281050 0.425449 376039
23 1994  3.00766e+08 285617 891808 283238 268084 283238 283238 268084 283238 0.39161 540911
23 1995  9.2848e+07 415111 1.33085e+06 496112 432654 496112 496112 432654 496112 0.341254 649316
23 1996  4.92661e+08 609296 938054 452057 411136 452057 452057 411136 452057 0.538379 595261
23 1997  8.63939e+07 332715 1.75108e+06 552475 423889 552475 552475 423889 552475 0.312864 790705
23 1998  1.42483e+08 859276 1.2323e+06 485678 489426 485678 485678 489426 485678 0.480552 545439
23 1999  2.2017e+08 434893 817521 471932 423366 471932 471932 423366 471932 0.742393 472035
23 2000  2.7871e+08 192844 737909 370347 308973 370347 370347 308973 370347 0.544987 495887
23 2001  3.54014e+08 268506 999801 595721 444830 595721 595721 444830 595721 0.921766 589530
23 2002  4.31296e+07 259519 1.18193e+06 645902 461683 645902 645902 461683 645902 0.597461 515627
23 2003  1.65962e+08 394144 559723 232654 255432 232654 232654 255432 232654 0.802994 347809
23 2004  9.14968e+07 105533 483255 264457 186010 264457 264457 186010 264457 0.682555 278877
23 2005  2.12782e+08 136757 372490 143318 159667 143318 143318 159667 143318 0.580099 348834
23 2006  1.68327e+08 105784 588299 267630 241605 267630 267630 241605 267630 0.609446 436568
23 2007  2.97172e+08 166022 541911 114319 114423 114319 114319 114423 114319 0.274896 598181
23 2008  1.48751e+08 182905 800569 245289 240776 245289 245289 240776 245289 0.391653 576433
23 2009  6.52266e+08 259644 609502 304305 347075 304305 304305 347075 304305 0.705205 708272
23 2010  8.45697e+07 175449 1.71395e+06 324785 273146 324785 324785 273146 324785 0.209002 972184
23 2011  1.10146e+08 834395 1.1801e+06 340287 206431 340287 340287 206431 340287 0.191095 811449
23 2012  2.11652e+08 389248 611358 56692.5 39056.1 56692.5 56692.5 39056.1 56692.5 0.0534924 607671
23 2013  1.52179e+08 234016 632172 236658 245266 236658 236658 245266 236658 0.669734 417151
23 2014  2.82379e+08 142205 475321 91156 105917 91156 91156 105917 91156 0.32163 491618
23 2015  7.25236e+07 174547 804127 188928 176584 188928 188928 176584 188928 0.321773 512509
23 2016  3.09092e+08 295933 486464 22561 17946.5 22561 22561 17946.5 22561 0.0343533 570733
23 2017  3.45247e+07 210527 874706 276566 246219 276566 276566 246219 276566 0.437215 455137
23 2018  5.01632e+07 298898 418078 150533 160763 150533 150533 160763 150533 0.593013 206415
23 2019  1.12943e+08 97657.9 215557 66204.3 57260.3 66204.3 66204.3 57260.3 66204.3 0.378981 169406
23 2020  6.4721e+07 79413.1 364320 129666 111913 129666 129666 111913 129666 0.364639 221924
23 2021  1.04148e+08 141609 313632 46720 38081.7 46720 46720 38081.7 46720 0.133766 259500
23 2022  9.62e+07 133964 386136 11759.9 10560.3 11759.9 11759.9 10560.3 11759.9 0.0241795 268587
23 2023  NA 210555 NA NA NA NA NA NA NA NA NA
24 1974  2.22851e+08 287487 1.10046e+06 732535 610320 732535 732535 610320 732535 1.61174 1.44924e+06
24 1975  3.58785e+08 288739 827764 508262 420782 508262 508262 420782 508262 1.11134 1.68877e+06
24 1976  2.91366e+08 366631 1.17655e+06 472608 478073 472608 472608 478073 472608 0.997001 1.88278e+06
24 1977  1.32171e+08 362701 1.01416e+06 383967 330569 383967 383967 330569 383967 0.678345 1.26829e+06
24 1978  2.1112e+08 314838 656975 253756 268767 253756 253756 268767 253756 0.760985 1.072e+06
24 1979  2.15662e+08 261873 833692 339898 346411 339898 339898 346411 339898 0.832915 1.2156e+06
24 1980  5.60444e+07 390750 1.0363e+06 534650 473214 534650 534650 473214 534650 0.971727 1.01933e+06
24 1981  1.58547e+08 273405 405206 431928 146676 431928 431928 146676 431928 0.600028 802588
24 1982  1.73151e+08 122271 450448 390197 159143 390197 390197 159143 390197 0.733704 880296
24 1983  1.77057e+08 223410 675032 475746 331982 475746 475746 331982 475746 0.992481 931235
24 1984  7.45278e+07 319606 865010 376484 388157 376484 376484 388157 376484 1.18029 842075
24 1985  1.02374e+08 270690 455340 227635 306066 227635 227635 306066 227635 1.79187 540462
24 1986  9.23714e+07 99036.6 348362 180330 131407 180330 180330 131407 180330 0.69445 585642
24 1987  5.34508e+07 151485 363637 148943 186093 148943 148943 186093 148943 1.20147 433485
24 1988  7.75918e+07 94620.4 204297 109219 87980.1 109219 109219 87980.1 109219 0.644768 385606
24 1989  7.77291e+07 98278.2 283122 166974 133669 166974 166974 133669 166974 0.86822 448512
24 1990  7.78264e+07 127783 314444 138841 133164 138841 138841 133164 138841 0.774118 455117
24 1991  1.58626e+08 144772 343449 189819 234463 189819 189819 234463 189819 1.15882 630233
24 1992  7.34772e+07 190814 632457 302275 254672 302275 302275 254672 302275 0.650588 724197
24 1993  5.96858e+07 323139 491854 181098 323872 181098 181098 323872 181098 1.32894 438872
24 1994  1.65136e+08 98235.4 237484 183618 134698 183618 183618 134698 183618 0.777133 607729
24 1995  7.47488e+07 177721 629628 231894 159980 231894 231894 159980 231894 0.472561 840663
24 1996  1.25097e+08 277504 436793 156224 156295 156224 156224 156295 156224 0.503764 650634
24 1997  3.22997e+07 186799 540559 156781 138979 156781 156781 138979 156781 0.506525 585016
24 1998  6.76946e+07 222463 302043 73980.5 84116.2 73980.5 73980.5 84116.2 73980.5 0.391046 422261
24 1999  1.1097e+08 110671 272136 92388.1 88676.7 92388.1 92388.1 88676.7 92388.1 0.529351 523722
24 2000  4.42389e+07 155149 449409 185103 143255 185103 185103 143255 185103 0.534256 521984
24 2001  5.86421e+07 211678 314067 64358.3 51061 64358.3 64358.3 51061 64358.3 0.199115 467149
24 2002  3.26616e+07 107776 223244 77138.2 65083.2 77138.2 77138.2 65083.2 77138.2 0.470514 305233
24 2003  1.46128e+07 61047 126951 24569.2 29638.4 24569.2 24569.2 29638.4 24569.2 0.42709 165848
24 2004  2.02065e+07 37564 69442.5 13487.8 14585.3 13487.8 13487.8 14585.3 13487.8 0.279167 132156
24 2005  5.38613e+07 24931.2 66414.8 41.44 0 41.44 41.44 0 41.44 0 232852
24 2006  4.36135e+07 54314.7 175922 46529 36177.4 46529 46529 36177.4 46529 0.358804 324890
24 2007  7.08494e+07 71981.4 160182 5799.45 0 5799.45 5799.45 0 5799.45 0 392952
24 2008  1.21536e+08 92637.2 235721 34843.6 21607.9 34843.6 34843.6 21607.9 34843.6 0.140129 626391
24 2009  1.45023e+08 126909 380943 45821.5 36323.3 45821.5 45821.5 36323.3 45821.5 0.137509 818902
24 2010  3.42352e+07 221724 576638 131191 136219 131191 131191 136219 131191 0.383459 713251
24 2011  6.55071e+07 183284 252277 6839.87 4173.37 6839.87 6839.87 4173.37 6839.87 0.0162972 479033
24 2012  1.39371e+08 80830.3 186776 26946.1 4756.93 26946.1 26946.1 4756.93 26946.1 0.0272409 649079
24 2013  4.77017e+07 106738 373816 82179.4 51265.8 82179.4 82179.4 51265.8 82179.4 0.266437 582077
24 2014  1.34543e+08 109774 196761 44189.1 37751.7 44189.1 44189.1 37751.7 44189.1 0.239573 600932
24 2015  6.86697e+07 103580 397355 57351.2 52195 57351.2 57351.2 52195 57351.2 0.284393 658909
24 2016  1.07681e+08 167709 305075 60202.7 69806.2 60202.7 60202.7 69806.2 60202.7 0.372745 631369
24 2017  4.91892e+07 100612 314995 33940.9 26850.9 33940.9 33940.9 26850.9 33940.9 0.163512 536725
24 2018  1.12055e+08 103138 185400 36151.5 35152 36151.5 36151.5 35152 36151.5 0.299081 515901
24 2019  1.10226e+08 93704.1 340971 97554.6 68030.2 97554.6 97554.6 68030.2 97554.6 0.43916 642472
24 2020  8.99139e+07 195011 490838 129545 144438 129545 129545 144438 129545 0.589665 728671
24 2021  6.87357e+07 192182 400148 71943.1 90128.7 71943.1 71943.1 90128.7 71943.1 0.415589 607871
24 2022  1.26927e+08 119369 262580 35717.9 29602.9 35717.9 35717.9 29602.9 35717.9 0.179459 685902
24 2023  NA 100740 NA NA NA NA NA NA NA NA NA
25 1974  3.46134e+08 431953 770229 354208 371343 322329 354208 371343 322329 0.455017 1.81375e+06
25 1975  7.2228e+08 550248 933072 773773 704810 704133 773773 704810 704133 1.074 3.01587e+06
25 1976  2.2628e+08 638316 1.34999e+06 636786 773074 579475 636786 773074 579475 1.03411 1.44311e+06
25 1977  3.34544e+08 334461 553367 341809 371271 311047 341809 371271 311047 0.965643 1.26813e+06
25 1978  5.83602e+08 297202 611674 431459 325121 392628 431459 325121 392628 0.683371 1.5541e+06
25 1979  3.14984e+08 461062 891163 451078 409293 410481 451078 409293 410481 0.413976 1.55434e+06
25 1980  1.16399e+08 614122 882694 407809 466313 371106 407809 466313 371106 1.02755 933929
25 1981  5.02603e+07 193173 303345 284613 210707 258998 284613 210707 258998 0.837492 363952
25 1982  4.00017e+07 88036.8 144754 182734 71884.8 166288 182734 71884.8 166288 0.54926 228377
25 1983  6.56192e+07 149397 271677 80083.6 97414.1 72876 80083.6 97414.1 72876 1.18871 327083
25 1984  4.70586e+07 95775.5 198354 104218 73168.4 94838.5 104218 73168.4 94838.5 0.548287 299793
25 1985  3.51444e+07 171976 299421 69201.7 76765.4 62973.5 69201.7 76765.4 62973.5 0.574591 251306
25 1986  7.19144e+07 93567.5 165074 27252.1 58369.4 24799.4 27252.1 58369.4 24799.4 1.04056 324522
25 1987  4.47623e+07 123253 273628 46361.4 24981.2 42188.9 46361.4 24981.2 42188.9 0.239837 326542
25 1988  5.16594e+07 137759 232539 73341.6 57468.8 66740.9 73341.6 57468.8 66740.9 0.659248 319700
25 1989  1.1392e+08 80198.3 158267 72798.5 18018.7 66246.6 72798.5 18018.7 66246.6 0.229756 442529
25 1990  1.17166e+08 172686 360217 82312.6 74353.7 74904.5 82312.6 74353.7 74904.5 0.741468 610587
25 1991  6.66463e+07 138245 272196 118017 169293 107396 118017 169293 107396 0.623893 550564
25 1992  9.56937e+07 93083.7 172132 133330 47978.6 121330 133330 47978.6 121330 0.267297 496695
25 1993  1.86137e+08 120756 213680 196481 127720 178797 196481 127720 178797 0.669227 754941
25 1994  1.28025e+08 160004 315524 396974 113068 361246 396974 113068 361246 0.371202 650461
25 1995  3.76596e+07 252545 408832 407769 252859 371069 407769 252859 371069 0.849132 355904
25 1996  5.0701e+07 149554 227734 143651 90975.3 130722 143651 90975.3 130722 0.665008 274139
25 1997  6.09955e+07 88546.9 172911 118277 73536.7 107632 118277 73536.7 107632 0.541333 307666
25 1998  1.10943e+08 172574 317016 154505 135300 140599 154505 135300 140599 0.908191 475408
25 1999  8.0445e+07 118313 248415 214119 107603 194848 214119 107603 194848 0.537713 390679
25 2000  5.97729e+07 135292 224422 215482 163731 196089 215482 163731 196089 0.679743 391799
25 2001  7.04155e+07 125413 214843 196622 128287 178926 196622 128287 178926 0.854989 356038
25 2002  6.93088e+07 200006 392789 153710 130533 139876 153710 130533 139876 0.859834 374050
25 2003  8.19414e+07 106557 199341 176392 119637 160517 176392 119637 160517 0.73124 409346
25 2004  1.96204e+08 183138 365266 113696 136069 103463 113696 136069 103463 0.796158 744818
25 2005  5.73956e+07 182722 389196 241424 191392 222110 241424 191392 222110 0.53856 472449
25 2006  8.09069e+07 196899 312955 124161 196156 114228 124161 196156 114228 0.899933 419958
25 2007  6.54126e+07 186599 370994 95525 91041.8 88838.2 95525 91041.8 88838.2 0.522302 436450
25 2008  1.75605e+08 98840.8 176956 60788.6 66196.1 56533.4 60788.6 66196.1 56533.4 0.455376 756431
25 2009  1.32453e+08 310652 661391 140648 95785.7 132209 140648 95785.7 132209 0.282618 756892
25 2010  1.39168e+08 265267 447323 150586 119468 141551 150586 119468 141551 0.325323 699514
25 2011  1.11215e+08 270987 482655 142520 120161 135394 142520 120161 135394 0.376106 649467
25 2012  8.19654e+07 298564 507422 93353.8 91633.6 88686.1 93353.8 91633.6 88686.1 0.41658 632751
25 2013  2.3127e+08 107157 188142 62517.8 74319.4 59391.9 62517.8 74319.4 59391.9 0.436437 790897
25 2014  1.86812e+08 457691 987502 127560 53280.1 122458 127560 53280.1 122458 0.132634 1.0836e+06
25 2015  1.31435e+08 442065 744639 288272 281300 276741 288272 281300 276741 0.539441 896878
25 2016  1.49073e+08 256006 397474 211103 258977 202659 211103 258977 202659 1.11112 576724
25 2017  2.26122e+08 127552 257088 113925 85168.7 110507 113925 85168.7 110507 0.361618 685264
25 2018  1.88586e+08 234493 446052 158846 142404 154081 158846 142404 154081 0.449859 730112
25 2019  1.42783e+08 263400 455408 134858 119189 130813 134858 119189 130813 0.336683 626717
25 2020  1.25348e+08 255268 408752 181117 188939 175683 181117 188939 175683 0.455921 579848
25 2021  1.83121e+08 178277 296741 76132.8 58551 73848.8 76132.8 58551 73848.8 0.225552 676873
25 2022  3.2443e+08 183516 339532 81599.6 30847 79967.7 81599.6 30847 79967.7 0.0740721 939390
25 2023  NA 347939 NA NA NA NA NA NA NA NA NA
26 1974  1.92574e+06 498129 774752 157427 160182 157427 157427 160182 157427 0.284337 0
26 1975  1.55621e+06 511509 836636 195349 193716 195349 195349 193716 195349 0.336814 0
26 1976  2.25208e+06 524560 815755 166997 162669 166997 166997 162669 166997 0.269542 0
26 1977  1.84334e+06 517602 799699 176623 160105 176623 176623 160105 176623 0.294492 0
26 1978  1.93666e+06 502852 771675 159539 148892 159539 159539 148892 159539 0.26858 0
26 1979  2.60429e+06 477015 758704 213145 201215 213145 213145 201215 213145 0.407479 0
26 1980  2.25705e+06 466816 733384 171852 163878 171852 171852 163878 171852 0.324747 0
26 1981  4.87919e+06 442615 683184 174140 174804 174140 174140 174804 174140 0.337665 0
26 1982  3.30146e+06 429306 810473 205329 203707 205329 205329 203707 205329 0.373851 0
26 1983  3.0862e+06 518256 885423 220537 219272 220537 220537 219272 220537 0.357781 0
26 1984  3.94653e+06 535590 916584 236422 235260 236422 236422 235260 236422 0.373098 0
26 1985  9.60063e+06 566491 955607 232241 226090 232241 232241 226090 232241 0.342611 0
26 1986  4.50675e+06 595646 1.21115e+06 308262 299253 308262 308262 299253 308262 0.426686 0
26 1987  4.54438e+06 688344 1.18611e+06 358749 324767 358749 358749 324767 358749 0.434673 0
26 1988  3.30809e+06 596918 1.05026e+06 324772 322155 324772 324772 322155 324772 0.457921 0
26 1989  2.8464e+06 626706 958785 286704 284593 286704 286704 284593 286704 0.40652 0
26 1990  2.69997e+06 566595 865048 240832 240714 240832 240832 240714 240832 0.39914 0
26 1991  2.3053e+06 533638 831007 237986 250793 237986 237986 250793 237986 0.467597 0
26 1992  1.46738e+06 455745 707005 193692 221686 193692 193692 221686 193692 0.495216 0
26 1993  1.35225e+06 402865 612342 163524 196804 163524 163524 196804 163524 0.477415 0
26 1994  2.08561e+06 340722 523344 145745 169787 145745 145745 169787 145745 0.479198 0
26 1995  2.04537e+06 317105 512307 131248 142423 131248 131248 142423 131248 0.45595 0
26 1996  5.79451e+06 282804 471539 143394 144997 143394 143394 144997 143394 0.517292 0
26 1997  2.21644e+06 264939 576983 192969 158700 192969 192969 158700 192969 0.579803 0
26 1998  2.0173e+06 311703 560770 183655 163036 183655 183655 163036 183655 0.495756 0
26 1999  2.27076e+06 295077 534578 160881 174206 160881 160881 174206 160881 0.502988 0
26 2000  1.38894e+06 304660 514452 135015 128076 135015 135015 128076 135015 0.366913 0
26 2001  3.93293e+06 331695 540985 193367 145416 193367 193367 145416 193367 0.448222 0
26 2002  1.27903e+06 293825 578262 134404 131711 134404 134404 131711 134404 0.418349 0
26 2003  2.69088e+06 338285 564754 154023 131414 154023 154023 131414 154023 0.369128 0
26 2004  1.85845e+06 318869 584532 127824 97047.4 127824 127824 97047.4 127824 0.256321 0
26 2005  2.02126e+06 370329 583448 118885 102690 118885 118885 102690 118885 0.252026 0
26 2006  3.17978e+06 397485 641355 131169 106042 131169 131169 106042 131169 0.24521 0
26 2007  2.74919e+06 381134 641670 101029 108303 101029 101029 108303 101029 0.247477 0
26 2008  2.61844e+06 448234 733002 105289 95733.8 105289 105289 95733.8 105289 0.183767 0
26 2009  3.29775e+06 524955 838769 108299 121135 108299 108299 121135 108299 0.205865 0
26 2010  3.85248e+06 584256 911822 116972 115233 116972 116972 115233 116972 0.180995 0
26 2011  3.19959e+06 561083 873842 118106 139540 118106 118106 139540 118106 0.222123 0
26 2012  3.4299e+06 542163 871630 141842 137650 141842 141842 137650 141842 0.213909 0
26 2013  3.56386e+06 584585 910359 126360 123840 126360 126360 123840 126360 0.187187 0
26 2014  1.98426e+06 636437 978141 133664 129857 133664 133664 129857 133664 0.200266 0
26 2015  2.1513e+06 560668 735062 134577 137959 134577 134577 137959 134577 0.217719 0
26 2016  2.98522e+06 535389 697687 136931 142686 136931 136931 142686 136931 0.25009 0
26 2017  1.97046e+06 507494 678345 114281 107521 114281 114281 107521 114281 0.20355 0
26 2018  4.35435e+06 435539 594524 105954 104547 105954 105954 104547 105954 0.227447 0
26 2019  2.65965e+06 401022 580140 86015.4 83312.4 86015.4 86015.4 83312.4 86015.4 0.179477 0
26 2020  2.18944e+06 421213 592810 79078.7 84721.6 79078.7 79078.7 84721.6 79078.7 0.17792 0
26 2021  7.08987e+06 438649 631582 73222.5 71464.2 73222.5 73222.5 71464.2 73222.5 0.140448 0
26 2022  3.15936e+06 431298 671451 64879 66775.4 64879 64879 66775.4 64879 0.12845 0
26 2023  NA 524512 NA NA NA NA NA NA NA NA NA
27 1974  49345.8 41109.7 59652 17985.6 18546.4 17985.6 17985.6 18546.4 17985.6 0.459969 0
27 1975  111653 43370.2 58644.7 20769.5 20005.9 20769.5 20769.5 20005.9 20769.5 0.467514 0
27 1976  139807 43000.1 52736.2 17322.2 17525.8 17322.2 17322.2 17525.8 17322.2 0.435077 0
27 1977  51273.8 35230.6 53985.2 18000.7 15070.4 18000.7 18000.7 15070.4 18000.7 0.395672 0
27 1978  15071.1 40178 58582.5 20275.7 20957.6 20275.7 20275.7 20957.6 20275.7 0.485299 0
27 1979  149577 46299.9 53462.7 22594.9 21740.7 22594.9 22594.9 21740.7 22594.9 0.477355 0
27 1980  156925 36420.9 44002.2 15803.2 16106.3 15803.2 15803.2 16106.3 15803.2 0.479343 0
