"Year","scenario","Species","variable","value"
"2019","2020","N.sandeel","Rec",462311
"1974","2023","N.sandeel","Rec",348101
"1975","2023","N.sandeel","Rec",205196
"1976","2023","N.sandeel","Rec",216938
"1977","2023","N.sandeel","Rec",123144
"1978","2023","N.sandeel","Rec",208296
"1979","2023","N.sandeel","Rec",319352
"1980","2023","N.sandeel","Rec",172837
"1981","2023","N.sandeel","Rec",225149
"1982","2023","N.sandeel","Rec",196162
"1983","2023","N.sandeel","Rec",172126
"1984","2023","N.sandeel","Rec",120321
"1985","2023","N.sandeel","Rec",222477
"1986","2023","N.sandeel","Rec",251145
"1987","2023","N.sandeel","Rec",121418
"1988","2023","N.sandeel","Rec",321163
"1989","2023","N.sandeel","Rec",189564
"1990","2023","N.sandeel","Rec",306382
"1991","2023","N.sandeel","Rec",312042
"1992","2023","N.sandeel","Rec",435980
"1993","2023","N.sandeel","Rec",504462
"1994","2023","N.sandeel","Rec",608505
"1995","2023","N.sandeel","Rec",234900
"1996","2023","N.sandeel","Rec",796810
"1997","2023","N.sandeel","Rec",106836
"1998","2023","N.sandeel","Rec",165823
"1999","2023","N.sandeel","Rec",448055
"2000","2023","N.sandeel","Rec",187358
"2001","2023","N.sandeel","Rec",164383
"2002","2023","N.sandeel","Rec",32514.9
"2003","2023","N.sandeel","Rec",83040.9
"2004","2023","N.sandeel","Rec",44737.1
"2005","2023","N.sandeel","Rec",68569.3
"2006","2023","N.sandeel","Rec",85603.4
"2007","2023","N.sandeel","Rec",62516.1
"2008","2023","N.sandeel","Rec",68151.7
"2009","2023","N.sandeel","Rec",108630
"2010","2023","N.sandeel","Rec",14433.8
"2011","2023","N.sandeel","Rec",14516.4
"2012","2023","N.sandeel","Rec",77160.8
"2013","2023","N.sandeel","Rec",104384
"2014","2023","N.sandeel","Rec",121035
"2015","2023","N.sandeel","Rec",11894.3
"2016","2023","N.sandeel","Rec",370794
"2017","2023","N.sandeel","Rec",22230.7
"2018","2023","N.sandeel","Rec",114571
"2019","2023","N.sandeel","Rec",244786
"2020","2023","N.sandeel","Rec",102720
"2021","2023","N.sandeel","Rec",86628.1
"2022","2023","N.sandeel","Rec",59913.2
"1974","2020","Nor.pout","Rec",294699
"1975","2020","Nor.pout","Rec",422944
"1976","2020","Nor.pout","Rec",316513
"1977","2020","Nor.pout","Rec",160644
"1978","2020","Nor.pout","Rec",203041
"1979","2020","Nor.pout","Rec",231256
"1980","2020","Nor.pout","Rec",126382
"1981","2020","Nor.pout","Rec",201727
"1982","2020","Nor.pout","Rec",219989
"1983","2020","Nor.pout","Rec",151844
"1984","2020","Nor.pout","Rec",119535
"1985","2020","Nor.pout","Rec",96457.8
"1986","2020","Nor.pout","Rec",137455
"1987","2020","Nor.pout","Rec",43540
"1988","2020","Nor.pout","Rec",91048.5
"1989","2020","Nor.pout","Rec",90055.5
"1990","2020","Nor.pout","Rec",107479
"1991","2020","Nor.pout","Rec",129169
"1992","2020","Nor.pout","Rec",88826.7
"1993","2020","Nor.pout","Rec",67288.3
"1994","2020","Nor.pout","Rec",169544
"1995","2020","Nor.pout","Rec",88570
"1996","2020","Nor.pout","Rec",126554
"1997","2020","Nor.pout","Rec",39694.5
"1998","2020","Nor.pout","Rec",82701.3
"1999","2020","Nor.pout","Rec",112565
"2000","2020","Nor.pout","Rec",56351.1
"2001","2020","Nor.pout","Rec",81770.6
"2002","2020","Nor.pout","Rec",49300.9
"2003","2020","Nor.pout","Rec",22956.5
"2004","2020","Nor.pout","Rec",29092
"2005","2020","Nor.pout","Rec",58337.2
"2006","2020","Nor.pout","Rec",43751.1
"2007","2020","Nor.pout","Rec",60800.1
"2008","2020","Nor.pout","Rec",96769.1
"2009","2020","Nor.pout","Rec",100683
"2010","2020","Nor.pout","Rec",27527.8
"2011","2020","Nor.pout","Rec",58289.6
"2012","2020","Nor.pout","Rec",111073
"2013","2020","Nor.pout","Rec",38849.8
"2014","2020","Nor.pout","Rec",130429
"2015","2020","Nor.pout","Rec",79402.8
"2016","2020","Nor.pout","Rec",100636
"2017","2020","Nor.pout","Rec",50118.8
"2018","2020","Nor.pout","Rec",124005
"2019","2020","Nor.pout","Rec",183048
"1974","2023","Nor.pout","Rec",222851
"1975","2023","Nor.pout","Rec",358785
"1976","2023","Nor.pout","Rec",291366
"1977","2023","Nor.pout","Rec",132171
"1978","2023","Nor.pout","Rec",211120
"1979","2023","Nor.pout","Rec",215662
"1980","2023","Nor.pout","Rec",56044.4
"1981","2023","Nor.pout","Rec",158547
"1982","2023","Nor.pout","Rec",173151
"1983","2023","Nor.pout","Rec",177057
"1984","2023","Nor.pout","Rec",74527.8
"1985","2023","Nor.pout","Rec",102374
"1986","2023","Nor.pout","Rec",92371.4
"1987","2023","Nor.pout","Rec",53450.8
"1988","2023","Nor.pout","Rec",77591.8
"1989","2023","Nor.pout","Rec",77729.1
"1990","2023","Nor.pout","Rec",77826.4
"1991","2023","Nor.pout","Rec",158626
"1992","2023","Nor.pout","Rec",73477.2
"1993","2023","Nor.pout","Rec",59685.8
"1994","2023","Nor.pout","Rec",165136
"1995","2023","Nor.pout","Rec",74748.8
"1996","2023","Nor.pout","Rec",125097
"1997","2023","Nor.pout","Rec",32299.7
"1998","2023","Nor.pout","Rec",67694.6
"1999","2023","Nor.pout","Rec",110970
"2000","2023","Nor.pout","Rec",44238.9
"2001","2023","Nor.pout","Rec",58642.1
"2002","2023","Nor.pout","Rec",32661.6
"2003","2023","Nor.pout","Rec",14612.8
"2004","2023","Nor.pout","Rec",20206.5
"2005","2023","Nor.pout","Rec",53861.3
"2006","2023","Nor.pout","Rec",43613.5
"2007","2023","Nor.pout","Rec",70849.4
"2008","2023","Nor.pout","Rec",121536
"2009","2023","Nor.pout","Rec",145023
"2010","2023","Nor.pout","Rec",34235.2
"2011","2023","Nor.pout","Rec",65507.1
"2012","2023","Nor.pout","Rec",139371
"2013","2023","Nor.pout","Rec",47701.7
"2014","2023","Nor.pout","Rec",134543
"2015","2023","Nor.pout","Rec",68669.7
"2016","2023","Nor.pout","Rec",107681
"2017","2023","Nor.pout","Rec",49189.2
"2018","2023","Nor.pout","Rec",112055
"2019","2023","Nor.pout","Rec",110226
"2020","2023","Nor.pout","Rec",89913.9
"2021","2023","Nor.pout","Rec",68735.7
"2022","2023","Nor.pout","Rec",126927
"1974","2020","Plaice","Rec",825.168
"1975","2020","Plaice","Rec",653.864
"1976","2020","Plaice","Rec",956.326
"1977","2020","Plaice","Rec",811.509
"1978","2020","Plaice","Rec",858.928
"1979","2020","Plaice","Rec",1111.17
"1980","2020","Plaice","Rec",1030.88
"1981","2020","Plaice","Rec",2141.8
"1982","2020","Plaice","Rec",1473.61
"1983","2020","Plaice","Rec",1407.02
"1984","2020","Plaice","Rec",1928.69
"1985","2020","Plaice","Rec",4698.03
"1986","2020","Plaice","Rec",2184.63
"1987","2020","Plaice","Rec",2101.86
"1988","2020","Plaice","Rec",1440.64
"1989","2020","Plaice","Rec",1123.67
"1990","2020","Plaice","Rec",987.99
"1991","2020","Plaice","Rec",856.236
"1992","2020","Plaice","Rec",559.272
"1993","2020","Plaice","Rec",543.318
"1994","2020","Plaice","Rec",908.286
"1995","2020","Plaice","Rec",904.849
"1996","2020","Plaice","Rec",2547.11
"1997","2020","Plaice","Rec",942.078
"1998","2020","Plaice","Rec",813.938
"1999","2020","Plaice","Rec",952.964
"2000","2020","Plaice","Rec",605.601
"2001","2020","Plaice","Rec",1749.94
"2002","2020","Plaice","Rec",573.46
"2003","2020","Plaice","Rec",1170.72
"2004","2020","Plaice","Rec",727.254
"2005","2020","Plaice","Rec",731.551
"2006","2020","Plaice","Rec",1080.1
"2007","2020","Plaice","Rec",926.213
"2008","2020","Plaice","Rec",853.065
"2009","2020","Plaice","Rec",1089.11
"2010","2020","Plaice","Rec",1305.56
"2011","2020","Plaice","Rec",1089.07
"2012","2020","Plaice","Rec",1167.4
"2013","2020","Plaice","Rec",1273.27
"2014","2020","Plaice","Rec",718.254
"2015","2020","Plaice","Rec",830.492
"2016","2020","Plaice","Rec",1290.05
"2017","2020","Plaice","Rec",743.112
"2018","2020","Plaice","Rec",2238.22
"2019","2020","Plaice","Rec",949.833
"1974","2023","Plaice","Rec",1925.74
"1975","2023","Plaice","Rec",1556.21
"1976","2023","Plaice","Rec",2252.08
"1977","2023","Plaice","Rec",1843.34
"1978","2023","Plaice","Rec",1936.66
"1979","2023","Plaice","Rec",2604.29
"1980","2023","Plaice","Rec",2257.05
"1981","2023","Plaice","Rec",4879.19
"1982","2023","Plaice","Rec",3301.46
"1983","2023","Plaice","Rec",3086.2
"1984","2023","Plaice","Rec",3946.53
"1985","2023","Plaice","Rec",9600.63
"1986","2023","Plaice","Rec",4506.75
"1987","2023","Plaice","Rec",4544.38
"1988","2023","Plaice","Rec",3308.09
"1989","2023","Plaice","Rec",2846.4
"1990","2023","Plaice","Rec",2699.97
"1991","2023","Plaice","Rec",2305.3
"1992","2023","Plaice","Rec",1467.38
"1993","2023","Plaice","Rec",1352.25
"1994","2023","Plaice","Rec",2085.61
"1995","2023","Plaice","Rec",2045.37
"1996","2023","Plaice","Rec",5794.51
"1997","2023","Plaice","Rec",2216.44
"1998","2023","Plaice","Rec",2017.3
"1999","2023","Plaice","Rec",2270.76
"2000","2023","Plaice","Rec",1388.94
"2001","2023","Plaice","Rec",3932.93
"2002","2023","Plaice","Rec",1279.03
"2003","2023","Plaice","Rec",2690.88
"2004","2023","Plaice","Rec",1858.45
"2005","2023","Plaice","Rec",2021.26
"2006","2023","Plaice","Rec",3179.78
"2007","2023","Plaice","Rec",2749.19
"2008","2023","Plaice","Rec",2618.44
"2009","2023","Plaice","Rec",3297.75
"2010","2023","Plaice","Rec",3852.48
"2011","2023","Plaice","Rec",3199.59
"2012","2023","Plaice","Rec",3429.9
"2013","2023","Plaice","Rec",3563.86
"2014","2023","Plaice","Rec",1984.26
"2015","2023","Plaice","Rec",2151.3
"2016","2023","Plaice","Rec",2985.22
"2017","2023","Plaice","Rec",1970.46
"2018","2023","Plaice","Rec",4354.35
"2019","2023","Plaice","Rec",2659.65
"2020","2023","Plaice","Rec",2189.44
"2021","2023","Plaice","Rec",7089.87
"2022","2023","Plaice","Rec",3159.36
"1974","2020","S.sandeel","Rec",184649
"1975","2020","S.sandeel","Rec",91152.6
"1976","2020","S.sandeel","Rec",144514
"1977","2020","S.sandeel","Rec",317444
"1978","2020","S.sandeel","Rec",151271
"1979","2020","S.sandeel","Rec",155583
"1980","2020","S.sandeel","Rec",109384
"1981","2020","S.sandeel","Rec",444934
"1982","2020","S.sandeel","Rec",42920.4
"1983","2020","S.sandeel","Rec",338710
"1984","2020","S.sandeel","Rec",114208
"1985","2020","S.sandeel","Rec",393949
"1986","2020","S.sandeel","Rec",90423.9
"1987","2020","S.sandeel","Rec",84336.4
"1988","2020","S.sandeel","Rec",230569
"1989","2020","S.sandeel","Rec",109903
"1990","2020","S.sandeel","Rec",150456
"1991","2020","S.sandeel","Rec",239237
"1992","2020","S.sandeel","Rec",66510.2
"1993","2020","S.sandeel","Rec",216488
"1994","2020","S.sandeel","Rec",292992
"1995","2020","S.sandeel","Rec",93097.8
"1996","2020","S.sandeel","Rec",503778
"1997","2020","S.sandeel","Rec",110858
"1998","2020","S.sandeel","Rec",169594
"1999","2020","S.sandeel","Rec",209713
"2000","2020","S.sandeel","Rec",317887
"2001","2020","S.sandeel","Rec",385594
"2002","2020","S.sandeel","Rec",44656.7
"2003","2020","S.sandeel","Rec",173673
"2004","2020","S.sandeel","Rec",76283.2
"2005","2020","S.sandeel","Rec",169463
"2006","2020","S.sandeel","Rec",137670
"2007","2020","S.sandeel","Rec",283708
"2008","2020","S.sandeel","Rec",121379
"2009","2020","S.sandeel","Rec",668488
"2010","2020","S.sandeel","Rec",75524.9
"2011","2020","S.sandeel","Rec",109406
"2012","2020","S.sandeel","Rec",187866
"2013","2020","S.sandeel","Rec",107522
"2014","2020","S.sandeel","Rec",200728
"2015","2020","S.sandeel","Rec",58468.6
"2016","2020","S.sandeel","Rec",340879
"2017","2020","S.sandeel","Rec",32453.9
"2018","2020","S.sandeel","Rec",119737
"2019","2020","S.sandeel","Rec",324918
"1974","2023","S.sandeel","Rec",232106
"1975","2023","S.sandeel","Rec",94695.7
"1976","2023","S.sandeel","Rec",169115
"1977","2023","S.sandeel","Rec",279782
"1978","2023","S.sandeel","Rec",131075
"1979","2023","S.sandeel","Rec",168902
"1980","2023","S.sandeel","Rec",105567
"1981","2023","S.sandeel","Rec",367517
"1982","2023","S.sandeel","Rec",35264.5
"1983","2023","S.sandeel","Rec",272265
"1984","2023","S.sandeel","Rec",99299.9
"1985","2023","S.sandeel","Rec",327318
"1986","2023","S.sandeel","Rec",80777.3
"1987","2023","S.sandeel","Rec",71714.7
"1988","2023","S.sandeel","Rec",210654
"1989","2023","S.sandeel","Rec",114018
"1990","2023","S.sandeel","Rec",150456
"1991","2023","S.sandeel","Rec",267526
"1992","2023","S.sandeel","Rec",63736.3
"1993","2023","S.sandeel","Rec",207208
"1994","2023","S.sandeel","Rec",300766
"1995","2023","S.sandeel","Rec",92848
"1996","2023","S.sandeel","Rec",492661
"1997","2023","S.sandeel","Rec",86393.9
"1998","2023","S.sandeel","Rec",142483
"1999","2023","S.sandeel","Rec",220170
"2000","2023","S.sandeel","Rec",278710
"2001","2023","S.sandeel","Rec",354014
"2002","2023","S.sandeel","Rec",43129.6
"2003","2023","S.sandeel","Rec",165962
"2004","2023","S.sandeel","Rec",91496.8
"2005","2023","S.sandeel","Rec",212782
"2006","2023","S.sandeel","Rec",168327
"2007","2023","S.sandeel","Rec",297172
"2008","2023","S.sandeel","Rec",148751
"2009","2023","S.sandeel","Rec",652266
"2010","2023","S.sandeel","Rec",84569.7
"2011","2023","S.sandeel","Rec",110146
"2012","2023","S.sandeel","Rec",211652
"2013","2023","S.sandeel","Rec",152179
"2014","2023","S.sandeel","Rec",282379
"2015","2023","S.sandeel","Rec",72523.6
"2016","2023","S.sandeel","Rec",309092
"2017","2023","S.sandeel","Rec",34524.7
"2018","2023","S.sandeel","Rec",50163.2
"2019","2023","S.sandeel","Rec",112943
"2020","2023","S.sandeel","Rec",64721
"2021","2023","S.sandeel","Rec",104148
"2022","2023","S.sandeel","Rec",96200
"1974","2020","Saithe","Rec",271.37
"1975","2020","Saithe","Rec",153.313
"1976","2020","Saithe","Rec",183.496
"1977","2020","Saithe","Rec",161.716
"1978","2020","Saithe","Rec",364.389
"1979","2020","Saithe","Rec",284.533
"1980","2020","Saithe","Rec",286.25
"1981","2020","Saithe","Rec",255.431
"1982","2020","Saithe","Rec",306.118
"1983","2020","Saithe","Rec",597.339
"1984","2020","Saithe","Rec",296.052
"1985","2020","Saithe","Rec",271.63
"1986","2020","Saithe","Rec",174.697
"1987","2020","Saithe","Rec",167.932
"1988","2020","Saithe","Rec",230.755
"1989","2020","Saithe","Rec",187.098
"1990","2020","Saithe","Rec",226.405
"1991","2020","Saithe","Rec",169.817
"1992","2020","Saithe","Rec",474.11
"1993","2020","Saithe","Rec",208.737
"1994","2020","Saithe","Rec",290.323
"1995","2020","Saithe","Rec",136.527
"1996","2020","Saithe","Rec",266.93
"1997","2020","Saithe","Rec",145.076
"1998","2020","Saithe","Rec",324.583
"1999","2020","Saithe","Rec",360.11
"2000","2020","Saithe","Rec",244.942
"2001","2020","Saithe","Rec",189.124
"2002","2020","Saithe","Rec",310.341
"2003","2020","Saithe","Rec",124.796
"2004","2020","Saithe","Rec",174.752
"2005","2020","Saithe","Rec",111.844
"2006","2020","Saithe","Rec",120.83
"2007","2020","Saithe","Rec",186.858
"2008","2020","Saithe","Rec",100.238
"2009","2020","Saithe","Rec",170.726
"2010","2020","Saithe","Rec",181.437
"2011","2020","Saithe","Rec",113.128
"2012","2020","Saithe","Rec",144.84
"2013","2020","Saithe","Rec",227.65
"2014","2020","Saithe","Rec",161.883
"2015","2020","Saithe","Rec",86.834
"2016","2020","Saithe","Rec",125.04
"2017","2020","Saithe","Rec",233.979
"2018","2020","Saithe","Rec",220.952
"2019","2020","Saithe","Rec",222.619
"1974","2023","Saithe","Rec",267.752
"1975","2023","Saithe","Rec",150.792
"1976","2023","Saithe","Rec",188.176
"1977","2023","Saithe","Rec",160.711
"1978","2023","Saithe","Rec",341.583
"1979","2023","Saithe","Rec",256.847
"1980","2023","Saithe","Rec",251.835
"1981","2023","Saithe","Rec",219.197
"1982","2023","Saithe","Rec",264.094
"1983","2023","Saithe","Rec",495.462
"1984","2023","Saithe","Rec",267.134
"1985","2023","Saithe","Rec",268.842
"1986","2023","Saithe","Rec",156.779
"1987","2023","Saithe","Rec",151.16
"1988","2023","Saithe","Rec",206.38
"1989","2023","Saithe","Rec",191.983
"1990","2023","Saithe","Rec",210.759
"1991","2023","Saithe","Rec",171.915
"1992","2023","Saithe","Rec",504.248
"1993","2023","Saithe","Rec",207.378
"1994","2023","Saithe","Rec",306.222
"1995","2023","Saithe","Rec",142.829
"1996","2023","Saithe","Rec",263.825
"1997","2023","Saithe","Rec",148.987
"1998","2023","Saithe","Rec",330.56
"1999","2023","Saithe","Rec",338.453
"2000","2023","Saithe","Rec",244.463
"2001","2023","Saithe","Rec",184.708
"2002","2023","Saithe","Rec",292.145
"2003","2023","Saithe","Rec",127.565
"2004","2023","Saithe","Rec",156.507
"2005","2023","Saithe","Rec",110.516
"2006","2023","Saithe","Rec",111.165
"2007","2023","Saithe","Rec",191.315
"2008","2023","Saithe","Rec",105.83
"2009","2023","Saithe","Rec",154.248
"2010","2023","Saithe","Rec",145.579
"2011","2023","Saithe","Rec",109.651
"2012","2023","Saithe","Rec",129.713
"2013","2023","Saithe","Rec",193.053
"2014","2023","Saithe","Rec",183.079
"2015","2023","Saithe","Rec",108.267
"2016","2023","Saithe","Rec",95.4744
"2017","2023","Saithe","Rec",85.804
"2018","2023","Saithe","Rec",103.427
"2019","2023","Saithe","Rec",147.402
"2020","2023","Saithe","Rec",179.438
"2021","2023","Saithe","Rec",178.297
"2022","2023","Saithe","Rec",177.916
"1974","2020","Sole","Rec",49.1418
"1975","2020","Sole","Rec",111.019
"1976","2020","Sole","Rec",138.258
"1977","2020","Sole","Rec",51.1848
"1978","2020","Sole","Rec",14.954
"1979","2020","Sole","Rec",151.835
"1980","2020","Sole","Rec",162.427
"1981","2020","Sole","Rec",147.01
"1982","2020","Sole","Rec",149.864
"1983","2020","Sole","Rec",77.1122
"1984","2020","Sole","Rec",92.6716
"1985","2020","Sole","Rec",143.123
"1986","2020","Sole","Rec",66.9247
"1987","2020","Sole","Rec",509.291
"1988","2020","Sole","Rec",115.792
"1989","2020","Sole","Rec",235.062
"1990","2020","Sole","Rec",83.1093
"1991","2020","Sole","Rec",422.87
"1992","2020","Sole","Rec",86.0954
"1993","2020","Sole","Rec",61.4568
"1994","2020","Sole","Rec",103.584
"1995","2020","Sole","Rec",62.3402
"1996","2020","Sole","Rec",260.155
"1997","2020","Sole","Rec",118.067
"1998","2020","Sole","Rec",91.8896
"1999","2020","Sole","Rec",124.175
"2000","2020","Sole","Rec",67.0351
"2001","2020","Sole","Rec",183.452
"2002","2020","Sole","Rec",85.4728
"2003","2020","Sole","Rec",45.5089
"2004","2020","Sole","Rec",50.2944
"2005","2020","Sole","Rec",184.905
"2006","2020","Sole","Rec",73.832
"2007","2020","Sole","Rec",72.0509
"2008","2020","Sole","Rec",89.8034
"2009","2020","Sole","Rec",185.987
"2010","2020","Sole","Rec",228.646
"2011","2020","Sole","Rec",58.4393
"2012","2020","Sole","Rec",105.075
"2013","2020","Sole","Rec",155.951
"2014","2020","Sole","Rec",112.289
"2015","2020","Sole","Rec",68.2396
"2016","2020","Sole","Rec",138.691
"2017","2020","Sole","Rec",112.278
"2018","2020","Sole","Rec",632.963
"2019","2020","Sole","Rec",24.2864
"1974","2023","Sole","Rec",49.3458
"1975","2023","Sole","Rec",111.653
"1976","2023","Sole","Rec",139.807
"1977","2023","Sole","Rec",51.2738
"1978","2023","Sole","Rec",15.0711
"1979","2023","Sole","Rec",149.577
"1980","2023","Sole","Rec",156.925
"1981","2023","Sole","Rec",146.287
"1982","2023","Sole","Rec",148.725
"1983","2023","Sole","Rec",77.6511
"1984","2023","Sole","Rec",93.299
"1985","2023","Sole","Rec",149.585
"1986","2023","Sole","Rec",69.0755
"1987","2023","Sole","Rec",502.735
"1988","2023","Sole","Rec",112.848
"1989","2023","Sole","Rec",226.101
"1990","2023","Sole","Rec",84.3691
"1991","2023","Sole","Rec",400.846
"1992","2023","Sole","Rec",83.569
"1993","2023","Sole","Rec",59.1752
"1994","2023","Sole","Rec",97.8691
"1995","2023","Sole","Rec",61.6601
"1996","2023","Sole","Rec",249.52
"1997","2023","Sole","Rec",112.731
"1998","2023","Sole","Rec",91.297
"1999","2023","Sole","Rec",122.609
"2000","2023","Sole","Rec",66.8766
"2001","2023","Sole","Rec",182.992
"2002","2023","Sole","Rec",84.8221
"2003","2023","Sole","Rec",46.2168
"2004","2023","Sole","Rec",50.1046
"2005","2023","Sole","Rec",179.566
"2006","2023","Sole","Rec",71.5663
"2007","2023","Sole","Rec",69.1077
"2008","2023","Sole","Rec",85.4204
"2009","2023","Sole","Rec",173.025
"2010","2023","Sole","Rec",217.527
"2011","2023","Sole","Rec",55.2501
"2012","2023","Sole","Rec",94.2355
"2013","2023","Sole","Rec",142.317
"2014","2023","Sole","Rec",99.4007
"2015","2023","Sole","Rec",64.7133
"2016","2023","Sole","Rec",104.467
"2017","2023","Sole","Rec",78.1762
"2018","2023","Sole","Rec",209.382
"2019","2023","Sole","Rec",33.1706
"2020","2023","Sole","Rec",62.0689
"2021","2023","Sole","Rec",96.0638
"2022","2023","Sole","Rec",93.2627
"1974","2020","Sprat","Rec",396346
"1975","2020","Sprat","Rec",843639
"1976","2020","Sprat","Rec",324055
"1977","2020","Sprat","Rec",396651
"1978","2020","Sprat","Rec",735779
"1979","2020","Sprat","Rec",297561
"1980","2020","Sprat","Rec",164328
"1981","2020","Sprat","Rec",66649.3
"1982","2020","Sprat","Rec",41214.6
"1983","2020","Sprat","Rec",74614.9
"1984","2020","Sprat","Rec",55748.5
"1985","2020","Sprat","Rec",33880.5
"1986","2020","Sprat","Rec",100861
"1987","2020","Sprat","Rec",38715.6
"1988","2020","Sprat","Rec",57042.4
"1989","2020","Sprat","Rec",112620
"1990","2020","Sprat","Rec",101508
"1991","2020","Sprat","Rec",64830.5
"1992","2020","Sprat","Rec",94987.7
"1993","2020","Sprat","Rec",177667
"1994","2020","Sprat","Rec",120446
"1995","2020","Sprat","Rec",39710.5
"1996","2020","Sprat","Rec",36442.9
"1997","2020","Sprat","Rec",47574.5
"1998","2020","Sprat","Rec",108155
"1999","2020","Sprat","Rec",77629.3
"2000","2020","Sprat","Rec",54807
"2001","2020","Sprat","Rec",63622.9
"2002","2020","Sprat","Rec",55739.7
"2003","2020","Sprat","Rec",70155.5
"2004","2020","Sprat","Rec",188556
"2005","2020","Sprat","Rec",57605.6
"2006","2020","Sprat","Rec",67391.9
"2007","2020","Sprat","Rec",57456.7
"2008","2020","Sprat","Rec",135375
"2009","2020","Sprat","Rec",131610
"2010","2020","Sprat","Rec",151066
"2011","2020","Sprat","Rec",115333
"2012","2020","Sprat","Rec",66335.5
"2013","2020","Sprat","Rec",219292
"2014","2020","Sprat","Rec",164183
"2015","2020","Sprat","Rec",116810
"2016","2020","Sprat","Rec",145573
"2017","2020","Sprat","Rec",216738
"2018","2020","Sprat","Rec",201918
"2019","2020","Sprat","Rec",243725
"1974","2023","Sprat","Rec",346134
"1975","2023","Sprat","Rec",722280
"1976","2023","Sprat","Rec",226280
"1977","2023","Sprat","Rec",334544
"1978","2023","Sprat","Rec",583602
"1979","2023","Sprat","Rec",314984
"1980","2023","Sprat","Rec",116399
"1981","2023","Sprat","Rec",50260.3
"1982","2023","Sprat","Rec",40001.7
"1983","2023","Sprat","Rec",65619.2
"1984","2023","Sprat","Rec",47058.6
"1985","2023","Sprat","Rec",35144.4
"1986","2023","Sprat","Rec",71914.4
"1987","2023","Sprat","Rec",44762.3
"1988","2023","Sprat","Rec",51659.4
"1989","2023","Sprat","Rec",113920
"1990","2023","Sprat","Rec",117166
"1991","2023","Sprat","Rec",66646.3
"1992","2023","Sprat","Rec",95693.7
"1993","2023","Sprat","Rec",186137
"1994","2023","Sprat","Rec",128025
"1995","2023","Sprat","Rec",37659.6
"1996","2023","Sprat","Rec",50701
"1997","2023","Sprat","Rec",60995.5
"1998","2023","Sprat","Rec",110943
"1999","2023","Sprat","Rec",80445
"2000","2023","Sprat","Rec",59772.9
"2001","2023","Sprat","Rec",70415.5
"2002","2023","Sprat","Rec",69308.8
"2003","2023","Sprat","Rec",81941.4
"2004","2023","Sprat","Rec",196204
"2005","2023","Sprat","Rec",57395.6
"2006","2023","Sprat","Rec",80906.9
"2007","2023","Sprat","Rec",65412.6
"2008","2023","Sprat","Rec",175605
"2009","2023","Sprat","Rec",132453
"2010","2023","Sprat","Rec",139168
"2011","2023","Sprat","Rec",111215
"2012","2023","Sprat","Rec",81965.4
"2013","2023","Sprat","Rec",231270
"2014","2023","Sprat","Rec",186812
"2015","2023","Sprat","Rec",131435
"2016","2023","Sprat","Rec",149073
"2017","2023","Sprat","Rec",226122
"2018","2023","Sprat","Rec",188586
"2019","2023","Sprat","Rec",142783
"2020","2023","Sprat","Rec",125348
"2021","2023","Sprat","Rec",183121
"2022","2023","Sprat","Rec",324430
"1974","2020","Whiting","Rec",39645
"1975","2020","Whiting","Rec",37675.1
"1976","2020","Whiting","Rec",41588
"1977","2020","Whiting","Rec",33668.9
"1978","2020","Whiting","Rec",32422
"1979","2020","Whiting","Rec",27686.5
"1980","2020","Whiting","Rec",21241.2
"1981","2020","Whiting","Rec",30250.1
"1982","2020","Whiting","Rec",15021
"1983","2020","Whiting","Rec",16402.2
"1984","2020","Whiting","Rec",17592.4
"1985","2020","Whiting","Rec",18422.4
"1986","2020","Whiting","Rec",23907.4
"1987","2020","Whiting","Rec",22742.8
"1988","2020","Whiting","Rec",26189.7
"1989","2020","Whiting","Rec",18359.3
"1990","2020","Whiting","Rec",15428
"1991","2020","Whiting","Rec",13715.7
"1992","2020","Whiting","Rec",19895.2
"1993","2020","Whiting","Rec",16058
"1994","2020","Whiting","Rec",14449
"1995","2020","Whiting","Rec",14165.4
"1996","2020","Whiting","Rec",7695.49
"1997","2020","Whiting","Rec",15385.4
"1998","2020","Whiting","Rec",25530.4
"1999","2020","Whiting","Rec",20235.1
"2000","2020","Whiting","Rec",22064.4
"2001","2020","Whiting","Rec",26349.9
"2002","2020","Whiting","Rec",19192.6
"2003","2020","Whiting","Rec",15611.7
"2004","2020","Whiting","Rec",15956.5
"2005","2020","Whiting","Rec",13478.3
"2006","2020","Whiting","Rec",14862.8
"2007","2020","Whiting","Rec",17662.1
"2008","2020","Whiting","Rec",15720.1
"2009","2020","Whiting","Rec",8416.1
"2010","2020","Whiting","Rec",15836.3
"2011","2020","Whiting","Rec",15687
"2012","2020","Whiting","Rec",10134.5
"2013","2020","Whiting","Rec",12395.5
"2014","2020","Whiting","Rec",14115.9
"2015","2020","Whiting","Rec",20139.3
"2016","2020","Whiting","Rec",21325.2
"2017","2020","Whiting","Rec",14258.9
"2018","2020","Whiting","Rec",10512.4
"2019","2020","Whiting","Rec",14825
"1974","2023","Whiting","Rec",28642
"1975","2023","Whiting","Rec",24585.4
"1976","2023","Whiting","Rec",32067.5
"1977","2023","Whiting","Rec",24574.3
"1978","2023","Whiting","Rec",27044.4
"1979","2023","Whiting","Rec",17388.6
"1980","2023","Whiting","Rec",12183.3
"1981","2023","Whiting","Rec",21851.4
"1982","2023","Whiting","Rec",8174.35
"1983","2023","Whiting","Rec",11012.6
