

Observed catches

Species: Cod        



Age             1974      1975      1976      1977      1978      1979      1980      1981
         7      7704      8238      6842      7441      9839     13539     19347     11605
         8      5551      4224      5593      3780      4704      4668      6198      8025
         9      4540      3013      2729      2813      2834      2346      3434      2320
        10      8776      8308      6551      5830      7083      5610      6402      5806

Yield         205329    220537    236422    232241    308262    358749    324772    286704


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1    146860    184551    142141     99787     63497    126642    112353    129550
         2    313064    344639    263388    207638    140257    119437    374411    554040
         3    273470    228763    180939    147893    141566     98402     95761    282515
         4    147931    162972    115818     92822     88030     85638     56891     49950
         5    174476     81602     92841     64910     48399     48574     37736     32021
         6     30122     79667     38422     35258     27824     24692     19276     18781
         7      9053     15410     30444     14745     17279     14746     12400      9518
         8      4689      5390      7229     11500      6661      5285      5881      5037
         9      3803      3214      3295      3704      5449      2495      2799      3054
        10      4206      5634      6976      5883      5458      3896      4989      4400

Yield         240832    237986    193692    163524    145745    131248    143394    192969


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1    104735    127870    106071     34869    311671     68498    234226     96884
         2    676844    217090    186869    389547    194270    568137    195557    351042
         3    266072    389858     91912    245578    138500    107187    246969     76188
         4    115693    102260    236965    131939     69451     75048     49703    114752
         5     23090     32056     27165    155800     47077     39047     25741     24669
         6      9184     14135     12827     11644     43784     20730     13759     16907
         7      5703      4038      3242      4784      6636     23884      5193      6192
         8      2870      2625      1302      1214      2257      1775      4775      2766
         9      1983      1597       954       651       796       691       462      2357
        10      3360      3234      2121      2364      1638       880       569       647

Yield         183655    160881    135015    193367    134404    154023    127824    118885


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1    221345     79123    135904    150229    169501    118309     92124    128777
         2    247158    231764    269138    205594    200238    166750    319177    167367
         3    197276    114984     90365    130882    108972    108049    184424    189244
         4     44006     69891     50692     52016     92478     99067     95056    101853
         5     53426     21973     35820     26893     27880     64530     54407     46994
         6      8308     28865      7902     19652     14358     17739     33584     30519
         7      6325      3285     16918      3538     11840      6786      7782     15568
         8      2496      3655      1863      7480      2149      9257      3409      3970
         9      1319      1953       776       590      3051      1262      4102      2475
        10      2488      2359      1549      9293      2077     19277      5008      3795

Yield         131169    101029    105289    108299    116972    118106    141842    126360


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1    293522     83433     79202    129586     64635    134636     94063     74285
         2    197921    292834    148228    149848    274291    121830    196812    114503
         3    156827    173499    172474    101930    126229    163295     83305    175732
         4    133281    105923    133706    117147     73259     61961    100596     55338
         5     71407     73558     82050     73811     64926     30628     28891     49980
         6     24542     34676     47362     34703     35821     26662     13868     12387
         7     13432     13314     21214     18128     17471     14581     16044      5847
         8      8454      9111      9567      7868      9230      8360      8803      6826
         9      2763      4072      5490      3079      5449      4057      5860      4378
        10      3440      5240      5126      3220      4176      4085      6434      4378

Yield         133664    134577    136931    114281    105954     86015     79079     73222
Species: Sole       



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1       100       267      1064      1780        27         9       650       434
         2     15171     23193      3619     22747     24921      8280      1233     29983
         3     21248     28833     28571     12299     29163     41681     12762      3344
         4      5412     11839     14316     15593      6102     16259     18138      7046
         5      6965      2110      4923      7580      6610      3033      7444      8439
         6      1896      3870       987      1812      4231      3262      1479      3757
         7      1563       798      1950       325      1730      1769      2241       973
         8       649       916       562      1133       608       826      1437       909
         9       396       513       434       261       643       244       374       786
        10      4750      3481      2721      2155      1595      1546      1227       932

Yield          17986     20770     17322     18001     20276     22595     15803     15400


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1      2697       391       192       163       372        93        10       115
         2     26799     34545     30839     16449      9304     28896     13206     45652
         3     46375     41551     44081     42773     18381     21927     47135     17973
         4      1868     21273     22631     20079     17591      8851     15217     22295
         5      3584       626      8821      9307      7698      6477      4377      4551
         6      4855      1383       744      3520      5480      3102      3878      1627
         7      1701      1958       857       207      2256      1559      1549      1414
         8       623       982      1047       375       109       898       890       637
         9       613       388       526       631       281        81       523       451
        10      1295      1181       897       965      1671       690       317       459

Yield          21575     24924     26837     24245     18198     17365     21587     21801


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1       854       118       965        53       709      4766       170      1574
         2     11816     12938      6730     49870      7710     12674     18609      5987
         3    103380     24985     43713     16575     86349     16700     16005     23418
         4      9667     76580     15961     31047     13387     68073     16770      7253
         5      9099      6609     37745     13709     18513      6262     26946      5058
         6      3315      3612      2440     23758      5642      7254      3814     12667
         7      1032      1706      2995      1472     11174      1981      4725      1189
         8      1186       707       730      1170       458      5971       932      2303
         9       548       718       393       456       905       293      3267       330
        10       837      1072      1163       833       897       665       976      1672

Yield          35118     33511     29339     31489     33000     30466     22648     14899


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1       242       284      2329       857      7507      2203       809      3387
         2     56162     15601     14929     25045     23564     39447     27792     12876
         3     15011     71730     32425     20925     37782     22538     55452     27429
         4     14806      8103     42394     19260     13214     17284     11250     30133
         5      3466      6049      3257     16211      8417      6195      7980      4543
         6      1924      1200      2453      1383      6393      3902      2179      3924
         7      4727       657       796       808       667      2427       902      1513
         8       787      1964       431       266       592       400       962       602
         9      1022       328       922       163        88       128       389       768
        10       838       804       708       701       362       451       389       392

Yield          20865     23473     22639     19942     18659     19286     20942     17696


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1      9398      1133      3189      4325      6058      3501      1133      4653
         2     15693     44566      9029     16897     23823     22290     25995      8474
         3     13102     13830     39191     14423     20024     25270     38049     40747
         4     10260      7026      6367     27547     10074      9652     12053     25149
         5     11140      5932      3034      3544     14116      5424      4515      5983
         6      1645      5536      2393      1657      1848      6469      2378      2167
         7      1595       823      2621      1600       917       983      4108      1551
         8       731       725       448      1532       811       431       591      2249
         9       373       498       491       312      1198       283       293       242
        10       553       541       459       864       690       765      1029       471

Yield          13588     15505     14615     15214     14850     13189     14695     15958


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1      7533      9655      5264      6499      3259     13085      2576      2660
         2     13947     19678     11489      9099     18901     14848     35226      4351
         3      9287     20502     29297     21274     10888     21243     12181     29289
         4     26430      6729     12882     19530     13442      7877     11825      8511
         5     12806     16284      4766      6378     11281      6172      2957      4809
         6      2829      6572      9530      2207      4016      5578      2199      1285
         7      2006      1485      4721      4087      1111      1718      1560       834
         8       626       612       778      2143      2067       714       574       723
         9       840       401       279       443       840      1703       157       252
        10       459       546       855       498       436       474      1258       262

Yield          14640     14590     15323     13574     12266     10605     10489      9143

Stock numbers

Species: Cod        



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1    606454   1002796    679151   1564030   1115650   1058149   1498248    845023
         2    187044    166040    296947    175001    409381    248929    268410    380398
         3     27915     40639     37735     63557     38426     78819     58896     54687
         4     36019     10025     13946     11821     20027     10474     26797     17470
         5     10664     15222      4091      5300      4597      6843      4219      9763
         6      2220      4827      6675      1683      2225      1719      2968      1670
         7       999      1005      2116      2745       706       832       746      1175
         8       942       433       420       827      1096       249       344       279
         9       572       424       188       172       344       406       107       135
        10       484       443       352       204       145       166       229       122

TSB           404979    395713    429763    403521    480898    440479    468640    500946
SSB           183175    169285    151626    120824    114520    107554    119756    123797


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1   1359107    822660   1274609    469159   1249947    669368    511688    727112
         2    173605    286809    176014    319361    105383    313823    163130    117831
         3     74701     30344     49533     34326     60915     19280     59144     29909
         4     16066     20351      8252     14653     10051     16373      5365     16351
         5      6355      5550      6931      2992      5296      3357      5624      1804
         6      3860      2401      2084      2732      1176      1956      1272      2121
         7       660      1458       901       821      1074       435       741       480
         8       440       235       516       336       306       374       155       264
         9       110       165        88       202       131       112       141        58
        10        93        69        80        60        94        75        64        70

TSB           404465    377335    338419    360931    285384    332387    266797    222692
SSB           116098     99773     88121     89735     77665     79153     76103     71115


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1    402149    454727    701809    340918    606674    481792    408565    862618
         2    181987     97450    110986    189468    107666    194188    156162    119381
         3     20356     32590     17571     21152     41543     24596     45730     33884
         4      7899      5672      9103      5229      5659     11468      7087     12269
         5      5431      2730      2006      3304      1580      1791      3803      2206
         6       665      2082      1052       791      1095       546       646      1294
         7       782       255       803       415       286       411       213       239
         8       167       283        93       300       140       100       150        74
         9        96        63       108        36       106        51        38        54
        10        43        49        39        53        29        45        34        24

TSB           223735    180292    191341    215042    202016    235801    232911    227212
SSB            68530     64811     64599     69346     71358     81851     91101     89650


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1    197697    268446    377006    172705    186850    163252    253050    240511
         2    281731     54513     76970    125282     58932     55980     49005     69164
         3     27769     49442      8909     13215     29418     10044     12340      9735
         4      9599      5477      9527      1737      3729      5735      2965      3363
         5      3921      2243      1260      2162       572       918      2132      1003
         6       775      1043       592       331       792       162       385       858
         7       494       230       307       174       131       248        72       166
         8        85       134        62        82        65        38       105        29
         9        27        25        38        18        32        20        17        45
        10        27        14        10        12        11        12        13        12

TSB           260189    136774    112147    121524     98532     75567     77578     85077
SSB            94994     67435     47339     45998     46365     34451     35148     36114


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1    408294    221597    229005    238066    323790    198547    268339    375396
         2     61560    105849     58096     56943     63344     96713     54373     68977
         3     13102     11599     26116     13275     13156     17724     27643     14865
         4      2608      3557      3732      7721      4032      4593      6526      9185
         5      1184       908      1418      1317      2889      1691      1954      2874
         6       405       470       343       498       465      1152       693       831
         7       371       172       192       131       191       199       499       310
         8        68       149        80        85        58        93        95       243
         9        13        28        83        43        46        33        50        52
        10        22        13        29        76        81        89        77        80

TSB            94025    112179    107145    105734    111450    135158    133584    140164
SSB            37864     45477     53215     55063     54294     65315     72067     72877


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1    346719    207213    135913    243883    101499    153231    180589    139654
         2     96604     98078     56500     36501     71798     25546     42360     57207
         3     19090     28883     28536     16280     11039     17877      7107     14033
         4      5260      7059     10196     10344      6008      3117      5710      2683
         5      4164      2426      3205      4292      4336      2002      1145      2489
         6      1263      1863      1067      1404      1789      1443       745       502
         7       383       592       861       491       618       642       572       342
         8       155       194       296       429       236       252       284       285
         9       135        87       108       164       232       114       129       157
        10        83       139       144       160       204       261       230       227

TSB           157149    166886    148013    130501    122082     88124     80937     97622
SSB            76492     85103     85632     79037     69242     50589     41151     45313
Species: Whiting    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1   5023758   9987334   9244735   9069351   9411236   7029776   7843093   4156727
         2   2791373   1207512   2724677   1922436   2045250   2087908   2299501   2034466
         3    534673    795005    379363    850317    653461    697956    700877    845005
         4     67274    121317    187603     99266    246721    228645    219404    244466
         5     21137     14019     24388     42394     25204     81057     65544     70203
         6      2156      4549      3751      6260     12369     12823     25771     29209

TSB           497296    524649    601240    584658    606888    624220    616010    535865
SSB           367882    299865    381144    374354    384693    405621    422793    416132


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1   3143969   2332526   4156436   2832838   5237654   5107803   4633804   7598918
         2    718927    622355    659262   1216237    817268   1720374   1457470   1163201
         3    623970    267163    204032    236466    438016    293452    640691    552365
         4    263998    220808     88586     65155     86063    127316     99076    223212
         5     74673     88082     64414     24030     21014     21204     38789     31365
         6     30666     36810     35999     27155     17162      9511      9221     15170

TSB           363232    301069    288841    293666    374174    357391    364415    422400
SSB           290768    222332    175305    203111    207573    228709    255936    255668


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1   4038517   3161839   3604408   4204257   3661353   3675552   2558386   1916654
         2   2040350   1070130   1037746   1027493   1040703   1014640    944672    620168
         3    506473    839265    459533    436327    378295    403663    428899    386124
         4    221467    195366    345083    181091    159987    147980    178731    187773
         5     81235     77967     79963    131808     65607     61144     65501     78962
         6     16310     33826     50463     56546     77933     62265     61260     63228

TSB           426174    410000    403552    377020    356624    363716    324620    277690
SSB           309974    304840    303275    276517    255442    255296    241622    214098


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1   2709590   4270301   3026712   3361129   3807585   1981606   1257942   1437487
         2    543341    637555    939476   1143483    954347    736238    325260    344726
         3    282883    230183    274544    452297    586756    443141    336520    130963
         4    178633    134831     99439    129225    238708    303533    213335    160606
         5     87053     87123     57243     47103     69176    124441    147058    102673
         6     71908     84194     81133     70269     66628     76253    105729    128878

TSB           268415    282905    314419    366133    351270    300490    243032    218985
SSB           190148    180020    199385    248301    259921    248221    201071    168366


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1   1383800   1337108   2067635   1801736   1668079   2264864   1489055   1090904
         2    433815    453265    356066    592746    554096    576988    705339    407956
         3    157245    177055    199562    161003    270820    266471    274949    312797
         4     64038     69443     82059     93575     77208    140078    137362    135842
         5     78689     29336     32846     37734     44311     38729     72396     68886
         6    120795     97336     60246     44566     39829     43527     43064     58635

TSB           202922    182511    204281    207793    258015    276953    276787    244587
SSB           151931    142584    147843    159821    205280    209553    231190    210686


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1   1557591   1652582   1898559   2840532   1705752   2152236   4706256   3788318
         2    317674    597634    612464    581521    727341    491274    666034   1723748
         3    189093    149966    279587    285446    281919    335314    226577    351303
         4    157461     96556     73556    138536    149041    144180    173114    126072
         5     68124     77980     46327     35840     71993     76687     73854     96282
         6     71571     75077     76785     71199     63194     79894     83976     93228

TSB           248278    256960    275372    293323    291671    298160    412207    523368
SSB           195958    202299    216402    236402    241548    242686    298603    403424
Species: Haddock    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1   7912048  17777096   1428920   1377437   2782052   4972966   8797762   3492274
         2    549692   1528688   4226845    335063    310192    503151    909357   2070978
         3    880582    148392    366735   1146853     88593     81510    136785    272849
         4    129529    204874     30808     86699    256750     19195     18841     34670
         5      4868     36078     48396      7891     25608     58274      4994      5807
         6      3291      1632      9433     13566      2334      7460     16503      1579
         7     37811      1130       471      2889      4270       700      2248      5326
         8       998     14446       372       174      1057      1472       246       821
         9       134       396      4751       137        66       376       518        92
        10       188       129       179      1773       720       281       232       281

TSB           893602   1433689   1063038    535419    362091    454039    745478    728027
SSB           398445    321233    523555    406070    178633    133753    176636    312712


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1   5156238   2470008   5166965   1551403   1709069   3742025    495784    406745
         2    424464    768088    459635   1515094    405337    604064   1154895    159610
         3    646637    143355    260341    148469    467351    124873    173347    313933
         4     85989    213156     38925     64245     41009    128934     29525     42779
         5     13267     33950     65899     10537     18257     11304     31662      7235
         6      2333      5481     11251     18287      3095      5270      2920      8020
         7       657      1010      1909      3363      6299      1068      1641       923
         8      2413       310       391       653      1288      2326       362       566
         9       380      1135       123       136       252       484       790       125
        10       173       263       553       236       144       148       215       344

TSB           676339    487360    555027    499915    380677    452454    351314    187441
SSB           342402    269629    224695    250312    236368    185603    196648    142642


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1    769104   1579853   2612891   3722904   1474584   6116894   2306752   1969544
         2    136833    256735    582441    863973    990565    428905   1498291    500843
         3     48590     43093     79278    204059    265111    315277    153069    459430
         4     77013     13143     11590     24426     51211     73593     96606     40125
         5     10904     20214      3431      3592      5984     13863     22161     24229
         6      1907      3010      5433      1081       893      1686      4366      5813
         7      2523       643       979      1965       329       302       622      1351
         8       323       928       228       389       653       120       121       209
         9       199       119       334        91       131       239        48        42
        10       163       134        92       170        88        80       128        62

TSB           133710    175880    303403    469551    402489    567212    523190    385783
SSB            76898     63212    100404    175269    213227    194304    247781    226101


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1   1025921    556139   7015579   1825820    326853    388142    379378    306020
         2    537734    273842    178215   2665841    657542    111294    142017    101198
         3    180092    202724     89987     77435   1247360    304747     62429     70786
         4    152717     56373     51558     26229     26772    440469    150897     28058
         5     13602     46720     13974     12442      7937      8883    204330     62694
         6      8228      4334     11681      3490      3832      2651      4326     85584
         7      2299      3037      1314      3327      1194      1411      1361      2116
         8       575       931      1011       333      1044       397       724       655
         9        90       234       310       256       106       362       204       357
        10        45        55        99       104       114        77       226       213

TSB           296562    195715    486373    655152    496264    292426    207054    142068
SSB           190279    140229    104342    359108    424075    262943    178514    120207


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1   2566081    629421    414426    256259   1910119    213883     97015    220321
         2     82922    669225    155613    107740     82468    611472     67118     30547
         3     53418     37443    303191     75031     53061     40305    307492     32409
         4     31932     18531     14922    141534     33733     25194     20204    159713
         5     12361      9864      6492      6785     64563     15296     11579      9826
         6     27649      4039      3478      2978      3272     29303      7036      5771
         7     40196      9954      1571      1689      1512      1601     14202      3669
         8       975     13099      3538       721       812       718       752      6992
         9       312       340      4656      1661       368       401       361       405
        10       272       205       201      2240      1976      1159       789       611

TSB           227315    206573    166874    115039    188230    181744    157238    122674
SSB            90103    138540    135861     95559     85819    134109    145762    109179


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1    183174   1573477    363373    580666    289021    642119   2769782   2896703
         2     66157     54788    506211    115650    176921     83786    203583   1049867
         3     15742     31056     22355    223431     52606     82797     41307    110205
         4     17658      7306     10849      9466     92486     22771     36568     20584
         5     79506      7474      2308      4038      3884     36986      9541     17595
         6      5132     32605      2365       889      1728      1720     15515      4626
         7      3171      2350     11236      1023       418       826       820      7871
         8      1924      1358       739      4170       442       187       362       419
         9      3644       858       458       278      1803       199        85       185
        10       577      1829       846       527       342       918       505       302

TSB            90654    145132    149883    156542    123946    119985    247119    429295
SSB            77025     61937     99069    117805     97351     81223     93129    208356
Species: Saithe     



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1    460286    242272    136442    170268    145418    309077    232405    227870
         2    206957    376850    198356    111709    139404    119058    253051    190277
         3    112673    169442    308539    162400     91460    114134     97476    207181
         4     80978     62722     88059    154500     70917     51585     62805     50207
         5     53168     39585     27969     37365     54594     35280     24830     27674
         6     68087     26773     18280     12326     13858     27949     17509     11338
         7     45596     36752     13418      8801      5119      7587     14899      8690
         8     22884     25407     19122      6727      3849      2890      4179      7683
         9      5358     13243     13822     10061      3130      2254      1655      2255
        10      8137      7810     11453     13299     10867      8196      5985      4123

TSB           861485    829296    730404    600366    456438    488833    471260    540785
SSB           558061    487925    368100    292383    247291    240335    222223    211551


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1    198338    238962    448313    241713    243258    141860    136775    186740
         2    186564    162385    195645    367048    197897    199163    116145    111982
         3    155786    152746    132950    160181    300513    162025    163061     95091
         4    110806     83890     67730     65690     78637    131290     77628     71962
         5     23264     51815     30256     28230     27145     27804     52516     27821
         6     13250     11235     19591     13110     12134     10073     11590     19737
         7      5861      6900      4744      9297      6179      5042      4624      4868
         8      4653      3159      3064      2347      4570      2704      2419      2044
         9      4289      2614      1490      1593      1213      2127      1367      1136
        10      3561      4409      3312      2497      2114      1548      1858      1515

TSB           546190    523465    418114    403109    445029    375101    354076    290996
SSB           192397    198449    162106    140987    123759    128347    129747    109883


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1    173714    190703    155555    456263    187644    277081    129237    238719
         2    152890    142225    156134    127358    373556    153630    226854    105810
         3     91683    125176    116444    127832    104272    305842    125781    185733
         4     44004     45847     64929     80666     82307     72077    201777     85466
         5     27478     18637     20392     34374     35284     43328     33596    101570
         6     11100     12088      8586      9649     12794     16577     17468     14920
         7      8726      5336      6046      4051      3576      5993      6657      7732
         8      2256      4369      2771      2978      1597      1750      2545      3092
         9      1002      1186      2373      1446      1276       829       801      1261
        10      1299      1209      1301      1917      1442      1410      1025       905

TSB           268893    277867    308341    353003    365542    568506    498724    484967
SSB           103719     97189     97571    112050    108480    133105    146841    180521


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1    134809    299103    306245    221199    167131    264343    115426    141613
         2    195447    110372    244885    250732    181102    136835    216426     94503
         3     86630    160018     90365    200495    205282    148274    112031    177195
         4    133060     61826    108539     64722    148170    145975    104321     82211
         5     49391     76133     30979     62685     40563     83981     80472     64186
         6     53660     25769     33617     16354     36673     20913     41812     46000
         7      7863     27927     11340     17703      9550     18860     10384     23854
         8      4218      4241     12903      6182     10616      5094      9739      6094
         9      1767      2386      2091      7368      3841      5945      2772      5937
        10      1237      1699      2014      2344      6034      5530      6245      5497

TSB           421751    436995    438347    486353    570320    481593    527766    489162
SSB           183262    190291    176940    186196    221575    208438    255201    235874


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1     99999    100586    173109     95759    139569    131725     99216    117369
         2    115943     81873     82353    141730     78401    114270    107847     81231
         3     77372     94926     67032     67425    116039     64189     93556     88298
         4    128041     56208     70373     47360     47406     81178     45309     66802
         5     48589     76736     35516     39221     26061     25748     45133     25958
         6     34882     26871     45357     17928     19484     12735     12957     23586
         7     24943     19250     15855     22835      8882      9494      6392      6755
         8     13360     14197     11654      8293     11768      4508      4952      3452
         9      3564      7926      8896      6414      4505      6307      2475      2804
        10      6686      6081      8776      9726      8768      7113      7368      5574

TSB           474434    413261    391036    367642    380883    318100    299346    299849
SSB           255860    237283    226937    217013    203653    158538    142372    143672


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1    174682    165656     97964     86389     77639     93585    133375    162362
         2     96094    143017    135628     80206     70729     63565     76621    109198
         3     66507     78675    117093    111043     65667     57908     52043     62732
         4     63819     47998     56427     84055     77777     46070     40464     37839
         5     39506     37596     27820     32781     45798     42557     24947     24304
         6     14117     21381     19936     14795     16082     22589     20717     13835
         7     12799      7624     11311     10577      7238      7910     10965     11465
         8      3786      7141      4174      6209      5388      3705      4001      6257
         9      2020      2206      4093      2398      3338      2910      1980      2379
        10      4902      4035      3577      4406      3658      3778      3573      3302

TSB           311743    320518    336156    359979    318431    300981    276159    275707
SSB           159000    162338    150991    165417    160351    165907    153791    146926
Species: Mackerel   



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1   3356060   4426176   4155623   2775970    708307   2347524   4378565   4886867
         2   1345885   2819896   3689894   3449807   2322730    588282   1933512   3645555
         3   4054355   1111469   2297454   2984612   2828501   1880294    469437   1539694
         4   1150455   3260325    874145   1785562   2371858   2201227   1429193    355003
         5   1744065    881194   2403796    631493   1340167   1717391   1530616   1021400
         6   3569909   1335342    649352   1735499    473751    969806   1193318   1061191
         7   1780873   2714730    975153    464046   1291608    339382    665513    814160
         8    888458   1347447   1969245    691614    343317    918379    230756    433760
         9    440339    672226    977428   1396660    511679    244111    624434    150399
        10    387923    626681    942218   1361482   2040567   1814738   1399875   1319379

TSB          5635997   5591931   5464678   5204567   4836720   4208723   3312453   3321497
SSB          4984059   4805337   4598692   4433468   4326831   3815467   2752838   2513110


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1   5958050   1618389   1172478   5666217   2639955   3130750   4475559   2893898
         2   4063551   4954464   1352452    978882   4746678   2215265   2621063   3737504
         3   2894331   3226495   3979667   1083939    790782   3849739   1787006   2101913
         4   1158565   2178222   2475412   3041963    839542    616523   2974590   1367276
         5    251896    822256   1589294   1796543   2249974    626856    454439   2161847
         6    702262    173236    583983   1121780   1296337   1641456    450513    321282
         7    717553    474986    121293    406169    798919    934197   1164002    313887
         8    524980    462842    319322     80895    278683    555956    637681    777952
         9    279694    338627    311158    212970     55504    193931    379494    426189
        10    947731    791723    759908    714342    636252    481383    460968    561716

TSB          3465278   3449665   3085197   3151928   3344167   3241778   3364025   3272859
SSB          2511725   2667095   2679153   2564291   2634345   2658082   2650091   2529705


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1   3785455   2823816   3090641   3755165   4221266   3554946   3201784   3169661
         2   2427402   3168721   2350966   2559041   3093038   3464236   2924387   2664884
         3   3028471   1957463   2523019   1848027   1987096   2381228   2681954   2326922
         4   1636221   2338689   1480006   1867293   1340126   1420546   1718219   2025533
         5   1018652   1205075   1670920   1025453   1256442    883417    949034   1225658
         6   1573130    731396    835218   1117468    662822    792975    566288    656541
         7    230894   1114413    498831    548206    707101    408799    497311    385454
         8    217712    157415    726033    310405    326506    408418    240889    323224
         9    539586    148428    102555    451784    184874    188588    240664    156564
        10    685210    835022    640712    462508    544543    421308    359387    389999

TSB          3328122   3435610   3274990   3192543   3131690   3152896   2953407   2960298
SSB          2693139   2814757   2776647   2645967   2559763   2564374   2436341   2460078


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1   2598796   2657800   3029622   1822015   3951611   5365277   3396336   4674352
