"Year","Species.n","Yield","DeadM1","DeadM2","Fbar","SSB","TSB","Recruits"
1978,24,253756,123560.03742,955867.799301212,0.770771,297802,616636,184368000
1979,24,339898,159016.64622,1074953.12938549,0.921673,240515,744121,202854000
1980,24,534650,154860.927176,1074549.91495027,1.05371,347431,934179,125113000
1981,24,431928,100791.7393,1021340.08725412,0.613248,296167,548340,181597000
1982,24,390197,121191.36967,1088652.60932936,0.725113,161580,525916,211389000
1983,24,475746,122403.753725,932945.143968134,0.970411,231891,716553,135348000
1984,24,376484,101860.035832,800895.319365038,1.22781,235901,588570,124430000
1985,24,227635,63653.425876,559701.184883418,1.52769,169792,420576,87371800
1986,24,180330,64881.504312,647594.727673888,0.803212,86971.6,272485,133566000
1987,24,148927,52833.795421,431386.725969511,1.2857,117222,380585,41932500
1988,24,109219,37102.993424,349580.903833605,0.581697,83642.2,144320,79390500
1989,24,166742,53815.56178,452533.456362031,0.75334,70530.3,234394,84468700
1990,24,138841,65889.154065,532843.608409595,0.840509,117209,279012,113864000
1991,24,189819,82505.071106,616004.279707916,1.31026,136466,389832,126122000
1992,24,302275,82944.849448,612774.317727436,0.677955,158453,441752,87305300
1993,24,181098,54826.18856,422652.850697664,1.14539,199506,355115,66273800
1994,24,183618,78280.70766,637584.938960638,0.874434,87119.4,219300,174589000
1995,24,231894,109014.85056,858062.715448161,0.475799,164301,601104,88447300
1996,24,156224,86866.52366,666033.286597014,0.503629,257322,422123,128651000
1997,24,156781,88470.64333,580271.4057446,0.507237,177753,520411,38473200
1998,24,73980.5,57197.65867,470578.042016968,0.373294,215117,299995,77641900
1999,24,92388.1,64718.6918,519031.657757977,0.517921,110091,274177,106292000
2000,24,185103,76632.32247,515106.516647199,0.557016,141120,412848,53751100
2001,24,64358.3,56677.48035,518746.173713144,0.16392,192326,301239,75680000
2002,24,77138.2,40866.36492,415094.052076243,0.392676,116411,257990,50535400
2003,24,24569.2,23743.610009,236462.16478793,0.353945,65357.2,152779,24567500
2004,24,13487.8,16706.008929,190473.538715352,0.210239,40745.5,84729.2,29990300
2005,24,41.44,25296.714727,280865.711605989,0,26239.3,79679.3,60515300
2006,24,46529,33467.282892,329207.233731775,0.33195,50884.5,174522,43804800
2007,24,5799.45,34495.472857,351899.137077974,0,65933.8,151710,58948200
2008,24,34843.6,50132.58857,483492.554432621,0.189581,77918.6,193560,92492300
2009,24,45821.5,70766.78946,548538.146833918,0.232364,106750,300756,94555200
2010,24,131191,70451.50181,486323.082151536,0.509825,181533,432370,25450700
2011,24,6839.87,37591.59129,393497.047448461,0.0223821,150881,203547,57542900
2012,24,26946.1,46490.4563,530346.174963196,0.0270078,74339,163778,110410000
2013,24,82179.4,47607.643229,439090.491123929,0.332548,86391.1,292499,37480000
2014,24,44189.1,53197.828369,549927.096574289,0.303282,96957.2,168238,126415000
2015,24,57351.2,72977.43211,645664.713290963,0.367829,94720.7,360630,78167900
2016,24,60202.7,57214.520486,603618.735088864,0.366408,162199,303281,96263900
2017,24,33940.9,49206.85572,472676.005107966,0.182719,89454.5,272034,48518500
2018,24,36151.5,52498.005423,548051.505936703,0.282329,101396,185676,119446000
2019,24,97554.6,106426.246146,774953.212603974,0.43544,92662.9,347367,175596000
1974,25,354208,339319.485905,2285322.31251702,0.415163,552546,1016960,396905000
1975,25,806769,501143.11062,3459242.70552219,1.02708,606658,1062070,833818000
1976,25,679972,280360.69132,2037893.69137576,0.984479,741476,1598260,343682000
1977,25,345286,256507.491101,1478453.54712535,0.834341,389689,670667,391559000
1978,25,462129,366199.225145,2040725.96342934,0.715391,347634,731485,753758000
1979,25,469921,316953.49177,1948883.34943024,0.420673,532719,1068920,358715000
1980,25,413620,157480.363795,1077421.04995209,1.07155,598947,872420,148395000
1981,25,291266,61991.720927,445270.152792624,0.640393,168872,290053,66110500
1982,25,189095,40559.823625,249178.192439384,0.597644,99023.1,167358,37097200
1983,25,80941,62345.773908,333799.537069956,1.46035,135849,240716,66939400
1984,25,104337,50366.385062,326989.908915401,0.815789,86644.2,181337,54233500
1985,25,69432.2,42611.169246,235402.568062092,0.901051,147216,273538,32825900
1986,25,30003.3,46874.197635,394286.733791371,1.25775,73126.5,132788,88774200
1987,25,46373.5,50117.32469,311780.344809441,0.323206,128505,294733,37119200
1988,25,74626.2,39841.563038,271980.441096985,1.16813,134803,212402,46671600
1989,25,74956.5,43738.804395,397768.241528092,0.388708,62580.6,125723,97146400
1990,25,83011.5,62886.512922,494473.781975147,1.00286,124568,259772,93390400
1991,25,118053,68211.4758045,340950.387069701,0.827778,95056.1,191544,59902400
1992,25,133348,70644.7033675,475058.604564983,0.34072,83782.7,162127,93258000
1993,25,201199,116614.6065685,706880.465128479,0.870842,112157,203182,177008000
1994,25,402641,112124.991262,627962.940856307,0.39286,142896,289885,120205000
1995,25,415810,55850.340134,313795.505592644,1.0159,212040,351860,37364100
1996,25,153713,37406.37402,182328.421081864,0.988433,119099,185100,34614600
1997,25,119875,39350.93154,219967.331987198,0.739954,62824.4,122013,45924700
1998,25,157740,70552.05892,347721.93719654,1.23742,128733,230130,102245000
1999,25,221064,62238.698205,391446.155276745,0.677474,110688,237005,74857800
2000,25,226525,62900.064907,286545.368156625,0.91918,110276,184466,50445400
2001,25,218622,48012.267882,266103.342394585,1.18589,105031,182402,53131300
2002,25,154880,61238.5476245,239866.558706114,1.21047,152672,297545,52079300
2003,25,181541,53491.620877,294437.264155161,0.938867,84448.7,159196,64423900
2004,25,114471,124905.2319383,668073.392179702,1.09242,148747,294286,182635000
2005,25,242173,76943.89029,407120.727516089,0.677964,157901,338034,54775900
2006,25,127796,55105.029607,336238.24072437,1.19246,172510,279736,60672000
2007,25,98037.7,56696.7693125,291105.255256659,0.921132,132426,260173,55072400
2008,25,61255.9,83148.6931085,509667.390225862,0.709873,78845.9,143590,127671000
2009,25,141182,118428.94895,660068.91609188,0.529718,236674,509660,127848000
2010,25,158496,108705.142475,673201.106714629,0.533709,214856,370862,143301000
2011,25,152271,79298.410765,613931.164392338,0.5389,226821,416250,109173000
2012,25,95535.8,77130.62499,432102.232482789,0.609831,231117,396446,63535000
2013,25,64121.6,92885.498263,710802.565136911,0.853325,89521.2,160154,203854000
2014,25,127615,197564.298105,760713.771109004,0.172426,352927,777359,158882000
2015,25,290620,155176.189425,752191.733370091,0.748709,406443,693125,118221000
2016,25,223289,76401.111251,540569.20017703,1.37507,222292,356447,138502000
2017,25,114152,91392.276424,638836.303509379,0.651006,103553,211198,210969000
2018,25,161896,107772.038563,673225.813152117,0.657548,183377,357858,193031000
2019,25,125053,137841.283989,678536.872044639,0.380962,216772,395857,232024000
1974,26,157490,34526.97696,0,0.47142,299055,433323,824833
1975,26,195250,36706.9467955,0,0.554171,310812,480255,653554
1976,26,166919,37218.3339375,0,0.440979,316018,465000,955692
1977,26,176698,36731.69053425,0,0.475659,323016,466781,810816
1978,26,159632,36995.5767495,0,0.422185,318598,460028,858072
1979,26,213301,34818.88775,0,0.637038,314503,468180,1110000
1980,26,171853,34184.71791,0,0.508713,299016,436823,1029910
1981,26,174253,32799.51991,0,0.524326,284314,413949,2139930
1982,26,205256,36842.1730015,0,0.568388,280201,474559,1472460
1983,26,220273,40879.3341895,0,0.541805,330639,528483,1405680
1984,26,236610,43205.268832,0,0.559676,350328,561239,1926700
1985,26,232402,48239.070944,0,0.504168,373593,590751,4694670
1986,26,308876,57255.93221175,0,0.62114,411002,749910,2182110
1987,26,359282,57122.93388875,0,0.638599,469928,769224,2099680
1988,26,324986,49511.0413425,0,0.67932,413525,682946,1439510
1989,26,286666,45139.21835,0,0.60577,425015,609039,1123380
1990,26,240671,41449.72186975,0,0.532777,380967,536822,987753
1991,26,238215,39095.9411195,0,0.627062,372146,525326,856013
1992,26,193772,32574.15332675,0,0.674682,318195,446527,559138
1993,26,163530,28087.19678975,0,0.654353,275949,382493,543284
1994,26,145716,24016.08390425,0,0.665172,229105,323636,908497
1995,26,131181,23842.33123625,0,0.623387,211300,312391,905111
1996,26,143445,22906.236555,0,0.723777,191871,296055,2545760
1997,26,193112,25175.21902575,0,0.877243,181088,345941,942058
1998,26,183573,24952.459429,0,0.753061,200215,340140,813918
1999,26,160706,23553.2527565,0,0.795055,192936,328111,952966
2000,26,135074,22789.1039195,0,0.614586,192445,298258,605824
2001,26,193207,23493.4260794,0,0.778517,206787,319798,1750410
2002,26,134260,23251.440656625,0,0.79378,171563,315961,573727
2003,26,154019,22534.9052964,0,0.792001,186902,313576,1171130
2004,26,127979,22356.9800055,0,0.614872,158141,292084,727508
2005,26,119045,21216.673617625,0,0.649113,179837,283230,731868
2006,26,131304,21799.44162175,0,0.640999,177405,288313,1080410
2007,26,100965,20515.4559035,0,0.565662,157808,261833,926404
2008,26,105331,23782.8453595,0,0.489496,182525,297787,853307
2009,26,108260,27764.06259375,0,0.430618,213762,340373,1089540
2010,26,116903,31197.6248895,0,0.441501,252380,383196,1305830
2011,26,118084,29823.0189875,0,0.449545,242585,369412,1089370
2012,26,141936,30431.43851425,0,0.457977,241335,376680,1167630
2013,26,126254,32863.2417995,0,0.420145,264542,401838,1273110
2014,26,133627,35393.6513515,0,0.419246,292328,437172,717820
2015,26,134459,27606.4555985,0,0.44926,266992,348296,830157
2016,26,136948,25914.3224225,0,0.517324,255275,331555,1289100
2017,26,114291,25867.063518,0,0.396226,235249,316244,743155
2018,26,105774,24684.7145601525,0,0.400192,211431,291185,2244810
2019,26,86091.8,27292.6359725,0,0.274741,212167,313991,1060500
1974,27,17985.6,4813.058267205,0,0.45879,40997.6,59470.2,49141.8
1975,27,20769.5,4686.21405373,0,0.466147,43211,58406.9,111019
1976,27,17322.2,4262.502567317,0,0.435226,42834.8,52525,138258
1977,27,18000.7,4440.495305395,0,0.394448,35068.2,53691.3,51184.8
1978,27,20275.7,4566.5610111625,0,0.484393,39999.4,58216.2,14954
1979,27,22594.9,4176.775136795,0,0.476925,45967.6,53114.2,151835
1980,27,15803.2,3553.048546113,0,0.481789,36197.8,43847.1,162427
1981,27,15399.8,4305.2827142625,0,0.480132,25077.2,50669,147010
1982,27,21574.5,4815.6118634425,0,0.541939,34149.7,59278.1,149864
1983,27,24924.2,5312.877160981,0,0.509387,42180.3,66981,77112.2
1984,27,26836.7,5038.07264474325,0,0.584804,45357.1,66142.2,92671.6
1985,27,24245.4,4238.3305711025,0,0.550252,41869.5,54684.8,143123
1986,27,18197.7,4116.29363665825,0,0.608517,36282.3,53672.6,66924.7
1987,27,17365.1,4619.9673661085,0,0.497266,29949.7,52053.4,509291
1988,27,21586.8,5738.4247668832,0,0.497806,36517.9,68385.2,115792
1989,27,21801.5,8319.066544547,0,0.407854,32569.6,96251.5,235062
1990,27,35118.1,9448.98525580475,0,0.428942,91205.8,117110,83109.3
1991,27,33511.2,8902.249887183,0,0.472297,77736.6,109388,422870
1992,27,29338.8,8786.1246167295,0,0.456725,78289.6,109376,86095.4
1993,27,31489.1,8335.378083365,0,0.509444,54650.3,104586,61456.8
1994,27,33000,6848.2195250625,0,0.549068,76934.1,90264.4,103584
1995,27,30466.3,5543.795905955,0,0.504207,59764.6,72524.8,62340.2
1996,27,22648.1,4236.65197750083,0,0.727832,40751.9,56590.8,260155
1997,27,14899.4,3971.61973470875,0,0.617266,29156.6,49373.7,118067
1998,27,20864.9,4659.274914503,0,0.653392,21845.2,58131.4,91889.6
1999,27,23473.2,4427.14093139625,0,0.581965,38976.3,56354.7,124175
2000,27,22639.1,3951.0348371859,0,0.646809,35686.9,52362.2,67035.1
2001,27,19941.8,3809.53177800625,0,0.539218,28614.6,46844.9,183452
2002,27,18659.3,3860.96388899255,0,0.535827,31165,48098.2,85472.8
2003,27,19285.6,4250.57621105538,0,0.528241,26235.3,52920.5,45508.9
2004,27,20941.8,3811.3502240125,0,0.521125,36968.9,49025.3,50294.4
2005,27,17696.1,3127.21600469275,0,0.556307,31370.7,39530.9,184905
2006,27,13588.3,3216.9301237036,0,0.474188,24018.8,39094.9,73832
2007,27,15504.8,3764.43820647437,0,0.478295,17735.9,45035.4,72050.9
2008,27,14615.1,3875.1787477993,0,0.409045,33741,46789.9,89803.4
2009,27,15213.9,3700.5654822373,0,0.471978,31950.9,44901.6,185987
2010,27,14850.2,4130.42089560368,0,0.529085,29284.6,49456.4,228646
2011,27,13188.5,4920.459245728,0,0.460637,25636,58663.2,58439.3
2012,27,14694.8,3438.701362975,0,0.519091,30622.6,43241.9,105075
2013,27,15958.1,3499.613883575,0,0.467542,36591.9,43348.2,155951
2014,27,14639.6,3375.255085925,0,0.44289,31403.7,41694.7,112289
2015,27,14590.4,3885.2819277275,0,0.402244,29185.2,46572.6,68239.6
2016,27,15323.4,3384.6895233825,0,0.453218,34913.1,41946.1,138691
2017,27,13573.9,3127.786066638,0,0.40828,31029.2,38076.8,112278
2018,27,12265.7,3916.9107997275,0,0.351159,27506,40166.3,632963
2019,27,10605.2,4470.76625871,0,0.299295,27878.8,51251.8,24286.4
