Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1981 1 1 8 0 15 500 500 5 24 8 70 0.00095 0.00095 0.00019 50 0.0514259 0.0514259 1 1 1 1 1 8 8 47 8
1981 1 1 8 0 15 500 500 5 25 8 88 0.00714 0.00714 0.001428 50 0.0158187 0.00162679 1 1 1 1 1 8 8 48 8
1981 1 1 8 0 15 500 500 5 25 9 109 0.01359 0.01359 0.002718 50 0 0.0141919 0 1 1 1 1 8 8 48 9
1981 1 1 8 0 15 500 500 5 26 7 56 0.00152 0.00152 0.000304 50 0.146891 0.0723608 1 1 1 1 1 8 8 49 7
1981 1 1 8 0 15 500 500 5 26 8 70 0.00304 0.00304 0.000608 50 0 0.0745306 0 1 1 1 1 8 8 49 8
1981 1 1 18 0 10 150 168 0.0466826 0 0 9999 -1 -1 -21.4213 47 0.950091 0.950091 1 1 1 1 1 9 9 50 0
1981 1 1 18 0 10 150 168 0.0466826 24 8 86 0.00138 0.00138 0.0295613 47 0.00572039 0.00572039 1 1 1 1 1 9 9 51 8
1981 1 1 18 0 10 150 168 0.0466826 26 8 85 0.00418 0.00418 0.0895409 47 0.0441889 0.0441889 1 1 1 1 1 9 9 52 8
1981 1 1 18 0 11 200 218 0.0982716 0 0 9999 -1 -1 -10.1759 68 0.804818 0.804818 1 1 1 1 1 9 10 53 0
1981 1 1 18 0 11 200 218 0.0982716 24 8 86 0.00138 0.00138 0.0140427 68 0.0169828 0.00782663 1 1 1 1 1 9 10 54 8
1981 1 1 18 0 11 200 218 0.0982716 24 9 120 0.00399 0.00399 0.0406018 68 0 0.00915614 0 1 1 1 1 9 10 54 9
1981 1 1 18 0 11 200 218 0.0982716 25 8 87 0.0037 0.0037 0.0376508 68 0.0199159 0.0199159 1 1 1 1 1 9 10 55 8
1981 1 1 18 0 11 200 218 0.0982716 26 7 53 0.0017 0.0017 0.017299 68 0.158283 0.0478384 1 1 1 1 1 9 10 56 7
1981 1 1 18 0 11 200 218 0.0982716 26 8 85 0.00418 0.00418 0.0425352 68 0 0.110445 0 1 1 1 1 9 10 56 8
1981 1 1 18 0 12 250 270 0.181081 0 0 9999 -1 -1 -5.52238 75 0.867277 0.867277 1 1 1 1 1 9 11 57 0
1981 1 1 18 0 12 250 270 0.181081 22 9 125 0.0126 0.0126 0.0695821 75 0.00730499 0.00730499 1 1 1 1 1 9 11 58 9
1981 1 1 18 0 12 250 270 0.181081 23 8 83 0.00169 0.00169 0.00933283 75 0.00215063 0.00215063 1 1 1 1 1 9 11 59 8
1981 1 1 18 0 12 250 270 0.181081 24 8 86 0.00138 0.00138 0.00762089 75 0.00233214 0.00233214 1 1 1 1 1 9 11 60 8
1981 1 1 18 0 12 250 270 0.181081 25 8 87 0.0037 0.0037 0.0204328 75 0.0625072 0.0625072 1 1 1 1 1 9 11 61 8
1981 1 1 18 0 12 250 270 0.181081 26 7 53 0.0017 0.0017 0.00938805 75 0.0584281 0.0128997 1 1 1 1 1 9 11 62 7
1981 1 1 18 0 12 250 270 0.181081 26 8 85 0.00418 0.00418 0.0230836 75 0 0.0269152 0 1 1 1 1 9 11 62 8
